2015/16,Kristoffer Nordfeldt,600000,In
2015/16,Franck Tabanou,3500000,In
2015/16,Andre Ayew,Free,In
2015/16,Eder,5000000,In
2015/16,Oliver McBurnie,Undisclosed,In
2015/16,Josh Vickers,Free,In
2015/16,Gerhard Tremmel,Free,In
2015/16,Alberto Paloschi,7800000,In
2015/16,Alan Tate,Released,Out
2015/16,David Cornell,Released,Out
2015/16,Rory Donnelly,Released,Out
2015/16,Gerhard Tremmel,Released,Out
2015/16,Jazz Richards,500000,Out
2015/16,Dwight Tiendalli,Released,Out
2015/16,Jonjo Shelvey,12000000,Out
2014/15,Lukasz Fabianski,Free,In
2014/15,Bafetimbi Gomis,Free,In
2014/15,Stephen Kingsley,850000,In
2014/15,Marvin Emnes,1500000,In
2014/15,Gylfi Sigurdsson,Swap,In
2014/15,Jefferson Montero,4000000,In
2014/15,Federico Fernandez,7000000,In
2014/15,James Demetriou,Free,In
2014/15,Giancarlo Gallifuoco,Free,In
2014/15,Modou Barrow,1500000,In
2014/15,Adnan Maric,Undisclosed,In
2014/15,Matt Grimes,1750000,In
2014/15,Kyle Naughton,5000000,In
2014/15,Jack Cork,3000000,In
2014/15,Leroy Leita,Released,Out
2014/15,David Ngog,Released,Out
2014/15,Gwion Edwards,700000,Out
2014/15,Ben Davies,Swap,Out
2014/15,Michel Vorm,3500000,Out
2014/15,Alejandro Pozuelo,Undisclosed,Out
2014/15,Chico Flores,3600000,Out
2014/15,Jose Canas,Free,Out
2014/15,Kris Scott,Free,Out
2014/15,Jernade Meade,Released,Out
2014/15,Darnel Situ,Released,Out
2014/15,Wilfried Bony,28000000,Out
2013/14,Jordi Amat,2500000,In
2013/14,Jose Ruiz Herrera Canas,Free,In
2013/14,Alejandro Pozuelo,425000,In
2013/14,Wilfried Bony,12000000,In
2013/14,Jernade Meade,Signed,In
2013/14,Jonjoe Shelvey,5000000,In
2013/14,Dwight Tiendalli,Signed,In
2013/14,David Ngog,Undisclosed,In
2013/14,Adam King,150000,In
2013/14,Raheem Hanley,Free,In
2013/14,Mark Gower,Free,Out
2013/14,Kemy Agustien,Signed,Out
2013/14,Luke Moore,Free,Out
2012/13,Jose Manuel Flores,2000000,In
2012/13,Michu,2000000,In
2012/13,Kyle Bartley,1000000,In
2012/13,Jamie Proctor,Undisclosed,In
2012/13,Ki Sung-Yueng,6000000,In
2012/13,Pablo,5550000,In
2012/13,Dwight Tiendalli,Signed,In
2012/13,Joe Allen,15000000,Out
2012/13,Stephen Dobbie,Undisclosed,Out
2012/13,Scott Sinclair,8000000,Out
2012/13,Andrea Orlandi,Undisclosed,Out
2012/13,Ferrie Bodde,Released,Out
2012/13,Joe Walsh,Free,Out
2012/13,Federico Bessone,Free,Out
2012/13,Jamie Proctor,Undisclosed,Out
2012/13,Danny Graham,5000000,Out
2012/13,Jose Moreira,Terminated,Out
2011/12,Leroy Lita,1750000,In
2011/12,Michel Vorm,1500000,In
2011/12,Wayne Routledge,2000000,In
2011/12,Gerhard Tremmel,Free,In
2011/12,Darnel Situ Buyente,250000,In
2011/12,Federico Bessone,Free,In
2011/12,Danny Graham,3500000,In
2011/12,Jose Moreira,Undisclosed,In
2011/12,Rory Donnelly,100000,In
2011/12,Darnel Situ Buyente,250000,In
2011/12,Curtis Obeng,200000,In
2011/12,Darren Pratley,Free,Out
2011/12,Shaun MacDonald,150000,Out
2011/12,Ryan Harley,Undisclosed,Out
2011/12,Dorus De Fris,Free,Out
