Alberto Paloschi,8,2
Andre Ayew,29,8
Angel Rangel,142,3
Ashley Williams,178,4
Bafetimbi Gomis,61,12
Eder,13,0
Federico Fernandez,56,1
Gylfi Sigurdsson,83,25
Jack Cork,45,1
Jay Fulton,5,0
Jefferson Montero,49,1
Jonjo Shelvey,79,10
Jordi Amat,32,0
Kyle Bartley,16,0
Kyle Naughton,35,0
Leon Britton,124,0
Leroy Fer,7,0
Lukasz Fabianski,70,0
Marvin Emnes,26,1
Matt Grimes,4,0
Modou Barrow,30,1
Nathan Dyer,131,17
Neil Taylor,117,0
Stephen Kingsley,2,0
Sung-yueng Ki,89,9
Wayne Routledge,151,12
Dwight Tiendalli,27,1
Gerhard Tremmel,29,0
Jazz Richards,18,0
Kenji Gorre,1,0
Nelson Oliveira,10,1
Tom Carroll,13,0
Wilfried Bony,54,26
Alvaro,12,0
Ben Davies,71,3
Canas,23,0
Chico,57,3
David N'Gog,3,0
Jonathan De Guzman,71,9
Leroy Lita,18,2
Michel Vorm,89,0
Michu,52,20
Pablo Hernandez,57,5
Pozuelo,22,0
Roland Lamah,14,2
Alan Tate,8,0
Danny Graham,54,15
Garry Monk,27,0
Itay Shechter,18,1
Kemy Agustien,31,0
Luke Moore,37,5
Mark Gower,21,0
Scott Sinclair,39,9
Andrea Orlandi,3,1
Federico Bessone,1,0
Joe Allen,36,4
Josh McEachran,4,0
Stephen Dobbie,8,0
Steven Caulker,26,0
Vangelis Moras,1,0
