Àngel Rangel,27,0
Ashley Williams,37,0
Bafetimbi Gomis,31,7
Dwight Tiendalli,3,0
Federico Fernández,28,0
Gerhard Tremmel,2,0
Gylfi Sigurðsson,32,7
Jack Cork,15,1
Jay Fulton,2,0
Jazz Richards,10,0
Jefferson Montero,30,1
Jonjo Shelvey,31,3
Jordi Amat,10,0
Kenji Gorré,1,0
Kyle Bartley,7,0
Kyle Naughton,10,0
Leon Britton,9,0
?ukasz Fabia?ski,37,0
Marvin Emnes,17,0
Matt Grimes,3,0
Modou Barrow,11,0
Nathan Dyer,32,3
Neil Taylor,34,0
Nélson Oliveira,10,1
Sung-yueng Ki,33,8
Tom Carroll,13,0
Wayne Routledge,29,3
Wilfried Bony,20,9
