Alex Pritchard,2,0
Ben Foster,129,0
Boaz Myhill,61,0
Callum McManaman,19,0
Chris Brunt,178,13
Claudio Yacob,105,1
Craig Dawson,82,5
Craig Gardner,63,6
Cristian Gamboa,11,0
Darren Fletcher,47,2
Gareth McAuley,152,9
James Chester,10,0
James McClean,29,2
James Morrison,179,20
Joleon Lescott,36,1
Jonas Olsson,161,6
Jonathan Leko,2,0
Jonny Evans,24,1
Rickie Lambert,19,1
Saido Berahino,97,23
Salomon Rondon,28,7
Sandro,8,0
Sebastien Pocognoli,16,0
Serge Gnabry,1,0
Stephane Sessegnon,75,8
Victor Anichebe,54,6
Andre Wisdom,24,0
Brown Ideye,24,4
Chris Baird,19,0
Georgios Samaras,5,0
Graham Dorrans,113,8
Jason Davidson,2,0
Sebastian Blanco,3,0
Varela,7,1
Youssuf Mulumbu,151,11
Billy Jones,66,1
Diego Lugano,9,1
Goran Popov,14,0
Liam O'Neil,3,0
Liam Ridgewell,76,2
Luke Daniels,1,0
Markus Rosenberg,28,0
Matej Vydra,23,3
Morgan Amalfitano,28,4
Nicolas Anelka,12,2
Scott Sinclair,8,0
Shane Long,81,19
Steven Reid,72,2
Thievy Bifouma,6,2
Zoltan Gera,33,4
Gabriel Tamas,45,0
George Thorne,9,0
Gonzalo Jara,34,1
Isaiah Brown,1,0
Jerome Thomas,72,4
Marc-Antoine Fortune,63,6
Peter Odemwingie,87,30
Romelu Lukaku,35,17
Keith Andrews,14,2
Marton Fulop,1,0
Nicky Shorey,53,0
Paul Scharner,62,7
Simon Cox,37,1
Somen Tchoyi,41,7
Abdoulaye Meite,10,0
Carlos Vela,8,2
Gianni Zuiverloon,2,0
Giles Barnes,14,0
Ishmael Miller,6,0
James Hurst,1,0
Marek Cech,15,0
Pablo Ibanez,10,1
Roman Bednar,4,0
Scott Carson,32,0
