Abdoulaye Méïté,10,0
Boaz Myhill,6,0
Carlos Vela,8,2
Chris Brunt,34,4
Gabriel Tama?,26,0
George Thorne,1,0
Gianni Zuiverloon,2,0
Giles Barnes,14,0
Gonzalo Jara,29,1
Graham Dorrans,21,1
Ishmael Miller,6,0
James Hurst,1,0
James Morrison,31,4
Jerome Thomas,33,3
Jonas Olsson,24,1
Marc-Antoine Fortuné,25,2
Marek ?ech,15,0
Nicky Shorey,28,0
Pablo Ibáñez,10,1
Paul Scharner,33,4
Peter Odemwingie,32,15
Roman Bedná?,4,0
Scott Carson,32,0
Simon Cox,19,1
Somen Tchoyi,23,6
Steven Reid,23,1
Youssuf Mulumbu,34,6
