Petr Cech,10000000,In
Ryo Miyaichi,Free,Out
Mohamed Elneny,5000000,In
Abou Diaby,Released,Out
Semi Ajayi,Free,Out
Lukas Podolski,1800000,Out
Josh Vickers,Free,Out
George Dobson,Free,Out
,,
Mathieu Debuchy,12000000,In
Lukasz Fabianski,Free,Out
Alexis Sanchez,35000000,In
Zak Ansah,Free,Out
David Ospina,3000000,In
Bacary Sagna,Free,Out
Calum Chambers,16000000,In
Nicklas Bendtner,Released,Out
Danny Welbeck,16000000,In
Park Chu Young,Released,Out
Elias Chatzitheodoridis,Signed,In
Chuks Aneke,Released,Out
Hugo Keto,Signed,In
Daniel Boateng,Released,Out
Ben Sheaf,Signed,In
Carlos Vela,8800000,Out
Krystian Bielik,2400000,Out
Thomas Eisfeld,400000,Out
Gabriel Paulista,11200000,Out
Thomas Vermaelen,15000000,Out
Ignasi Miquel,1500000,Out
Johan Djourou,2500000,Out
Zachari Fagan,Undisclosed,Out
Leander Siemann,Released,Out
Benik Afobe,2000000,Out
,,
Yaya Sanogo,Free,In
Jordan Wynter,Free,In
Mathieu Flamini,Free,Out
Elton Monteiro,Free,Out
Mesut Ozil,42500000,In
Craig Eastmond,Free,Out
Martin Angha,Free,Out
Kyle Ebecilio,Free,Out
Sanchez Watt,Released,Out
Denilson,Released,Out
Andrei Arshavin,Released,Out
Conor Henderson,Released,Out
Daniel Boateng,Released,Out
James Shea,Released,Out
Jernade Meade,Released,Out
Josh Rees,Released,Out
Nigel Neita,Released,Out
Philip Roberts,Released,Out
Reice Charles-Cox,Released,Out
Samir Bihmoutinel,Released,Out
Sead Harjovic,Released,Out
Sebastian Squillaci,Released,Out
Zach Fagan,Released,Out
Vito Mannone,2000000,Out
Andre Santos,Free,Out
Marouane Chamakh,Signed,Out
Gervinho,8000000,Out
Anthony Jeffrey,Free,Out
Nicholas Yennaris,Undisclosed,Out
Emmanuel Frimpong,Undisclosed,Out
,,
Lukas Podolski,11000000,In
Tom Cruise,Free,Out
Olivier Giroud,13000000,In
Jeffrey Monakana,Free,Out
Santi Cazorla,20000000,In
Oguzhan Ozyakup,500000,Out
Nacho Monreal,8300000,In
Pedro Botelho,Nominal,Out
Dejan Iliev,Undisclosed,In
Carlos Vela,4200000,Out
Robin Van Persie,22000000,Out
Kyle Bartley,1000000,Out
Alex Song,15000000,Out
Henri Lansbury,1000000,Out
Rhys Murphy,Free,Out
Gavin Hoyte,Free,Out
Manuel Almunia,Free,Out
,,
Carl Jenkinson,Free,In
Gael Clichy,7000000,Out
Gervinho,10600000,In
Mark Randall,Free,Out
Alex Oxlade-Chamberlain,12000000,In
Jay E-Thomas,1500000,Out
Joel Campbell,950000,In
Cesc Fabregas,35000000,Out
Park Chu-Young,3000000,In
Emmanuel Eboue,4000000,Out
Andre Santos,6200000,In
Jamie Edge,Free,Out
Mikel Arteta,10000000,In
Samir Nasri,22000000,Out
Per Mertesacker,10000000,In
Armand Traore,1200000,Out
Thomas Eisfeld,475000,In
Gilles Sunu,Free,Out
Luke Freeman,Undisclosed,Out
,,
Marouane Chamakh,Free,In
Fran Merida,Free,Out
Kyle Ebecillo,500000,Out
Philippe Senderos,Free,Out
Laurent Koscielny,10000000,In
Luke Ayling,Free,Out
Sebastien Squillaci,4000000,In
Eduardo,6000000,Out
Ryo Miyaichi,Undisclosed,In
Sol Campbell,Signed,Out
Jay Simpson,1200000,Out
Havard Nordtveit,500000,Out
Nacer Barazite,Free,Out
,,
Thomas Vermaelen,10000000,In
Abu Ogogo,Free,Out
Samuel Galindo,Undisclosed,In
Emmanuel Adebayor,25000000,Out
Sol Campbell,Free,In
Kolo Toure,16000000,Out
James Dunne,Signed,Out
Rene Steer,Signed,Out
,,
Amaury Bischoff,Undisclosed,In
Mathieu Flamini,Free,Out
Mikael Sylvestre,750000,In
Alexander Hleb,11800000,Out
Andrei Arshavin,15000000,In
Gilberto Silva,1000000,Out
Justin Hoyte,3000000,Out
Lassana Diarra,3500000,Out
,,
Samir Nasri,15800000,In
Jens Lehmann,Free,Out
Aaron Ramsey,5000000,In
Lassana Diarra,5500000,Out
Luke Freeman,200000,In
Matthew Connolly,1000000,Out
Lassana Diarra,4000000,In
Joe O'Cearuill,Free,Out
Bakari Sagna,6000000,In
Ryan Garry,Free,Out
Jose Reyes,8100000,Out
Fredrik Ljungberg,3000000,Out
,,
Eduardo,7500000,In
Peggy Lokando,Free,Out
Nacer Barazite,Signed,In
Arturo Lupoli,Free,Out
Lukasz Fabianski,2000000,In
Thierry Henry,16100000,Out
Denilson,3400000,In
Jeremie Aliadiere,2000000,Out
William Gallas,Swap,In
Mart Poom,Signed,Out
Alexandre Song,1000000,In
