Petr Cech,10000000,In,2015
Ryo Miyaichi,Free,Out,2015
Mohamed Elneny,5000000,In,2015
Abou Diaby,Released,Out,2015
Semi Ajayi,Free,Out,2015
Lukas Podolski,1800000,Out,2015
Josh Vickers,Free,Out,2015
George Dobson,Free,Out,2015
Mathieu Debuchy,12000000,In,2014
Lukasz Fabianski,Free,Out,2014
Alexis Sanchez,35000000,In,2014
Zak Ansah,Free,Out,2014
David Ospina,3000000,In,2014
Bacary Sagna,Free,Out,2014
Calum Chambers,16000000,In,2014
Nicklas Bendtner,Released,Out,2014
Danny Welbeck,16000000,In,2014
Park Chu-Young,Released,Out,2014
Elias Chatzitheodoridis,Signed,In,2014
Chuks Aneke,Released,Out,2014
Hugo Keto,Signed,In,2014
Daniel Boateng,Released,Out,2014
Ben Sheaf,Signed,In,2014
Carlos Vela,8800000,Out,2014
Krystian Bielik,2400000,In,2014
Thomas Eisfeld,400000,Out,2014
Gabriel Paulista,11200000,In,2014
Thomas Vermaelen,15000000,Out,2014
Ignasi Miquel,1500000,Out,2014
Johan Djourou,2500000,Out,2014
Zachari Fagan,Undisclosed,Out,2014
Leander Siemann,Released,Out,2014
Benik Afobe,2000000,Out,2014
Yaya Sanogo,Free,In,2013
Jordan Wynter,Free,In,2013
Mathieu Flamini,Free,Out,2013
Elton Monteiro,Free,Out,2013
Mesut Ozil,42500000,In,2013
Craig Eastmond,Free,Out,2013
Martin Angha,Free,Out,2013
Kyle Ebecilio,Free,Out,2013
Sanchez Watt,Released,Out,2013
Denilson,Released,Out,2013
Andrey Arshavin,Released,Out,2013
Conor Henderson,Released,Out,2013
Daniel Boateng,Released,Out,2013
James Shea,Released,Out,2013
Jernade Meade,Released,Out,2013
Josh Rees,Released,Out,2013
Nigel Neita,Released,Out,2013
Philip Roberts,Released,Out,2013
Reice Charles-Cox,Released,Out,2013
Samir Bihmoutinel,Released,Out,2013
Sead Harjovic,Released,Out,2013
Sebastien Squillaci,Released,Out,2013
Zach Fagan,Released,Out,2013
Vito Mannone,2000000,Out,2013
Andre Santos,Free,Out,2013
Marouane Chamakh,Signed,Out,2013
Gervinho,8000000,Out,2013
Anthony Jeffrey,Free,Out,2013
Nicholas Yennaris,Undisclosed,Out,2013
Emmanuel Frimpong,Undisclosed,Out,2013
Lukas Podolski,11000000,In,2012
Tom Cruise,Free,Out,2012
Olivier Giroud,13000000,In,2012
Jeffrey Monakana,Free,Out,2012
Santi Cazorla,20000000,In,2012
Oguzhan Ozyakup,500000,Out,2012
Nacho Monreal,8300000,In,2012
Pedro Botelho,Nominal,Out,2012
Dejan Iliev,Undisclosed,In,2012
Carlos Vela,4200000,Out,2012
Robin van Persie,22000000,Out,2012
Kyle Bartley,1000000,Out,2012
Alex Song,15000000,Out,2012
Henri Lansbury,1000000,Out,2012
Rhys Murphy,Free,Out,2012
Gavin Hoyte,Free,Out,2012
Manuel Almunia,Free,Out,2012
Carl Jenkinson,Free,In,2011
Gael Clichy,7000000,Out,2011
Gervinho,10600000,In,2011
Mark Randall,Free,Out,2011
Alex Oxlade-Chamberlain,12000000,In,2011
Jay Emmanuel-Thomas,1500000,Out,2011
Joel Campbell,950000,In,2011
Cesc Fabregas,35000000,Out,2011
Park Chu-Young,3000000,In,2011
Emmanuel Eboue,4000000,Out,2011
Andre Santos,6200000,In,2011
Jamie Edge,Free,Out,2011
Mikel Arteta,10000000,In,2011
Samir Nasri,22000000,Out,2011
Per Mertesacker,10000000,In,2011
Armand Traore,1200000,Out,2011
Thomas Eisfeld,475000,In,2011
Gilles Sunu,Free,Out,2011
Luke Freeman,Undisclosed,Out,2011
Marouane Chamakh,Free,In,2010
Fran Merida Perez,Free,Out,2010
Kyle Ebecillo,500000,Out,2010
Philippe Senderos,Free,Out,2010
Laurent Koscielny,10000000,In,2010
Luke Ayling,Free,Out,2010
Sebastien Squillaci,4000000,In,2010
Eduardo,6000000,Out,2010
Ryo Miyaichi,Undisclosed,In,2010
Sol Campbell,Signed,Out,2010
Jay Simpson,1200000,Out,2010
Havard Nordtveit,500000,Out,2010
Nacer Barazite,Free,Out,2010
Thomas Vermaelen,10000000,In,2009
Abu Ogogo,Free,Out,2009
Samuel Galindo,Undisclosed,In,2009
Emmanuel Adebayor,25000000,Out,2009
Sol Campbell,Free,In,2009
Kolo Toure,16000000,Out,2009
James Dunne,Signed,Out,2009
Rene Steer,Signed,Out,2009
Amaury Bischoff,Undisclosed,In,2008
Mathieu Flamini,Free,Out,2008
Mikael Silvestre,750000,In,2008
Alexander Hleb,11800000,Out,2008
Andrey Arshavin,15000000,In,2008
Gilberto Silva,1000000,Out,2008
Justin Hoyte,3000000,Out,2008
Lassana Diarra,3500000,Out,2008
