Manuel Almunia,G,29,0,0,0
Lukasz Fabianski,G,3,0,0,0
Gal Clichy,D,37,1,0,6
Johan Djourou,D,14,1,0,0
William Gallas,D,31,0,4,0
Kerrea Gilbert,D,1,0,0,0
Justin Hoyte,D,2,3,0,0
Bacary Sagna,D,29,0,1,4
Philippe Senderos,D,14,3,2,0
Kolo Tour,D,29,1,2,2
Armand Traore,D,1,2,0,1
Abou Diaby,M,9,6,1,1
Gilberto Silva,M,12,11,1,2
Emmanuel Ebou,M,20,3,0,1
Mathieu Flamini,M,30,0,3,2
Cesc Fbregas,M,32,0,7,20
Alexsandr Hleb,M,29,2,2,7
Denilson,M,4,10,0,2
Mark Randall,M,0,1,0,0
Tomas Rosicky,M,15,4,6,2
Alex Song,M,5,5,0,0
Emmanuel Adebayor,F,32,4,24,3
Eduardo,F,13,4,4,5
Nicklas Bendtner,F,7,20,5,3
Theo Walcott,F,11,14,4,2
Robin van Persie,F,13,2,7,3
