Manuel Almunia,G,29,0,0,0,ESP
Abou Diaby,M,26,3,0,6,FRA
Bacary Sagna,D,31,4,0,0,FRA
Cesc Fbregas,M,26,1,0,15,ESP
Thomas Vermaelen,D,33,0,0,7,BEL
Tomas Rosicky,M,14,11,0,3,CZE
Samir Nasri,M,22,4,0,2,FRA
Eduardo,F,13,11,0,2,CRO
William Gallas,D,26,0,0,3,FRA
Robin van Persie,F,14,2,0,9,NED
Carlos Vela,F,1,10,0,1,MEX
Theo Walcott,M,12,11,0,3,ENG
Denilson,M,19,1,0,3,BRA
Aaron Ramsey,M,7,11,0,3,WAL
Alex Song,M,25,1,0,1,CMR
Mikael Silvestre,D,9,3,0,1,FRA
Johan Djourou,D,1,0,0,0,SUI
Lukasz Fabianski,G,4,0,0,0,POL
Gal Clichy,D,23,1,0,0,FRA
Andrey Arshavin,M,25,5,0,10,RUS
Vito Mannone,G,5,0,0,0,ITA
Emmanuel Ebou,D,17,8,0,1,CIV
Kieran Gibbs,D,3,0,0,0,ENG
Armand Traore,D,9,0,0,0,FRA
Sol Campbell,D,10,1,0,0,ENG
Fran Merida Perez,M,4,0,0,1,ESP
Craig Eastmond,D,2,2,0,0,ENG
Nicklas Bendtner,F,13,10,0,6,DEN
