Andreas Weimann,1,0
Ashley Young,34,7
Barry Bannan,12,0
Brad Friedel,38,0
Chris Herd,6,0
Ciaran Clark,19,3
Cuéllar,12,0
Darren Bent,16,9
Emile Heskey,19,3
Eric Lichaj,5,0
Fabian Delph,7,0
Gabriel Agbonlahor,26,3
Habib Beye,3,0
James Collins,32,3
James Milner,1,1
Jean Makoun,7,0
John Carew,10,0
Jonathan Hogg,5,0
Kyle Walker,15,1
Luke Young,23,1
Marc Albrighton,29,5
Michael Bradley,3,0
Nathan Baker,4,0
Nathan Delfouneso,11,1
Nigel Reo-Coker,30,0
Richard Dunne,32,0
Robert Pirés,9,0
Stephen Ireland,10,0
Stephen Warnock,19,0
Steven Sidwell,4,0
Stewart Downing,38,7
Stilian Petrov,27,1
