Adama Traore,10,0
Alan Hutton,85,1
Aly Cissokho,39,0
Andre Green,2,0
Angel Crespo,1,0
Ashley Westwood,119,3
Brad Guzan,141,0
Carles Gil,28,2
Carlos Sanchez,44,1
Charles N'Zogbia,80,4
Ciaran Clark,130,6
Gabriel Agbonlahor,166,28
Idrissa Gueye,30,0
Jack Grealish,32,1
Joleon Lescott,25,3
Jordan Amavi,10,0
Jordan Ayew,25,6
Jordan Lyden,3,0
Jordan Veretout,25,0
Jores Okore,38,1
Kieran Richardson,32,0
Leandro Bacuna,80,6
Libor Kozak,18,4
Mark Bunn,7,0
Micah Richards,22,1
Rudy Gestede,29,5
Scott Sinclair,31,3
Andreas Weimann,113,17
Christian Benteke,89,42
Darren Bent,61,21
Fabian Delph,104,3
Jed Steer,1,0
Joe Cole,12,1
Matthew Lowton,72,2
Nathan Baker,79,0
Philippe Senderos,8,0
Ron Vlaar,79,2
Rushian Hepburn-Murphy,1,0
Shay Given,37,0
Tom Cleverley,31,3
Aleksandar Tonev,17,0
Antonio Luna,17,1
Callum Robinson,4,0
Chris Herd,36,1
Grant Holt,10,1
Joe Bennett,30,0
Jordan Bowery,19,0
Karim El Ahmadi,51,3
Marc Albrighton,83,7
Nicklas Helenius,3,0
Ryan Bertrand,16,0
Yacouba Sylla,22,0
Barry Bannan,64,1
Brett Holman,27,1
Derrick Williams,1,0
Enda Stevens,7,0
Eric Lichaj,32,1
Gary Gardner,16,0
Nathan Delfouneso,18,1
Simon Dawkins,4,0
Stephen Ireland,47,1
Cuellar,30,0
Emile Heskey,47,4
James Collins,64,4
Jermaine Jenas,3,0
Luke Young,25,1
Richard Dunne,60,1
Robbie Keane,6,3
Samir Carruthers,3,0
Stephen Warnock,54,2
Stilian Petrov,54,5
Ashley Young,34,7
Brad Friedel,38,0
Habib Beye,3,0
James Milner,1,1
Jean Makoun,7,0
John Carew,10,0
Jonathan Hogg,5,0
Kyle Walker,15,1
Michael Bradley,3,0
Nigel Reo-Coker,30,0
Robert Pirés,9,0
Steven Sidwell,4,0
Stewart Downing,38,7
