Asmir Begovic,G,15,0,0,2015
Thibaut Courtois,G,53,0,0,2014
Cesar Azpilicueta,D,118,2,9,2012
Gary Cahill,D,140,8,4,2011
Jake Clark-Salter,D,1,0,0,2015
Branislav Ivanovic,D,217,21,15,2008
Matt Miazga,D,2,0,0,2015
Baba Rahman,D,12,0,0,2015
John Terry,D,362,33,9,2003
Kurt Zouma,D,38,1,1,2014
Willian,M,92,11,10,2013
Cesc Fbregas,M,67,7,25,2014
Eden Hazard,M,134,39,30,2012
Ruben Loftus-Cheek,M,14,1,0,2014
Nemanja Matic,M,82,2,9,2013
John Obi Mikel,M,221,1,9,2006
Bertrand Traore,M,7,2,1,2015
Oscar,M,120,21,18,2012
Alexandre Pato,F,2,1,0,2015
Radamel Falcao,F,10,1,0,2015
Kenedy,F,13,1,0,2015
Pedro,F,26,7,2,2015
Loic Rmy,F,34,8,0,2014
Diego Costa,F,52,31,8,2014
Petr Cech,G,299,0,0,2004
Andreas Christensen,D,1,0,0,2014
Filipe Lus,D,15,0,0,2014
Juan Cuadrado,M,12,0,0,2014
Ramires,M,148,15,8,2009
Isaiah Brown,F,1,0,0,2014
Didier Drogba,F,222,75,45,2004
Mark Schwarzer,G,4,0,0,2013
Nathan Ak,D,4,0,0,2012
Ashley Cole,D,202,3,16,2006
Tomas Kalas,D,2,0,0,2013
David Luiz,D,81,6,4,2009
Frank Lampard,M,318,114,71,2003
Mohamed Salah,M,10,2,1,2013
John Swift,M,1,0,0,2013
Marco van Ginkel,M,2,0,0,2013
Demba Ba,F,53,20,1,2012
Samuel Eto'o,F,21,9,2,2013
Andre Schurrle,F,30,8,2,2013
Fernando Torres,F,134,29,19,2009
Ross Turnbull,G,5,0,0,2009
Ryan Bertrand,D,27,0,1,2009
Paulo Ferreira,D,128,0,5,2004
Yossi Benayoun,M,19,1,1,2010
Marko Marin,M,6,1,1,2012
Oriol Romeu,M,22,0,0,2009
Juan Mata,F,69,18,25,2009
Victor Moses,F,24,1,1,2012
Henrique Hilario,G,17,0,0,2006
Jose Bosingwa,D,81,3,5,2008
Sam Hutchinson,D,3,0,0,2006
Michael Essien,M,149,14,12,2005
Florent Malouda,M,116,23,13,2007
Raul Meireles,M,30,2,4,2009
Salomon Kalou,F,133,31,22,2006
Romelu Lukaku,F,8,0,1,2009
Daniel Sturridge,F,30,11,3,2009
Jeffrey Bruma,D,2,0,0,2010
Alex,D,67,6,3,2007
Joshua McEachran,M,9,0,0,2009
Yury Zhirkov,M,12,0,2,2010
Nicolas Anelka,F,101,36,14,2007
Jamal Blackman,G,0,0,0,2009
Rhys Taylor,G,0,0,0,2009
Nathaniel Chalobah,D,0,0,0,2009
Billy Clifford,M,0,0,0,2009
Jacob Mellis,M,0,0,0,2009
Adam Coombes,F,0,0,0,2009
Juliano Belletti,D,43,5,1,2007
Ricardo Carvalho,D,90,6,2,2004
Michael Mancienne,D,4,0,0,2008
Michael Ballack,M,73,12,7,2006
Joe Cole,M,157,26,19,2003
Deco,M,24,3,2,2008
Scott Sinclair,M,4,0,0,2006
Franco Di Santo,F,8,0,1,2008
Carlo Cudicini,G,50,0,0,2003
Tal Ben Haim,D,13,0,0,2007
Wayne Bridge,D,81,1,8,2003
Claude Makelele,M,143,2,8,2003
Steve Sidwell,M,15,0,1,2007
Shaun Wright-Phillips,M,81,4,11,2005
Claudio Pizarro,F,21,2,1,2007
Andriy Shevchenko,F,47,9,7,2006
Lassana Diarra,M,13,0,0,2005
Arjen Robben,F,67,15,17,2004
Yves Ma-Ricardo Carvalho,D,24,1,1,2005
Asier Del Horno,D,25,1,4,2005
William Gallas,D,90,7,2,2003
Robert Huth,D,39,0,1,2003
Geremi,M,53,3,3,2003
Jimmy Smith,M,1,0,0,2005
Hernan Crespo,F,49,20,2,2003
Yves Ma-Lenny Pidgeley,G,1,0,0,2004
Jiri Jarosik,D,14,0,0,2004
Glen Johnson,D,35,3,2,2003
Nuno Morais,D,2,0,0,2004
Steven Watt,D,1,0,0,2004
Tiago,M,34,4,4,2004
Damien Duff,M,52,11,16,2003
Anthony Grant,M,1,0,0,2004
Alexey Smertin,M,16,0,0,2004
Filipe Oliveira,F,2,0,0,2003
Eidur Gudjohnsen,F,62,18,9,2003
Marco Ambrosio,G,8,0,0,2003
Yves Ma-Neil Sullivan,G,4,0,0,2003
Celestine Babayaro,D,5,1,2,2003
Marcel Desailly,D,15,0,1,2003
Jesper Gronkjaer,M,30,2,2,2003
Alexis Nicolas,M,2,0,0,2003
Scott Parker,M,31,3,2,2003
Mario Stanic,M,2,0,0,2003
Jimmy Floyd Hasselbaink,F,29,13,5,2003
Adrian Mutu,F,25,6,4,2003
