Nathan,4500000,In,2015
Gael Kakuta,5200000,Out,2015
Asmir Begovic,8000000,In,2015
Petr Cech,10000000,Out,2015
Baba Rahman,17600000,In,2015
Didier Drogba,Released,Out,2015
Pedro,21400000,In,2015
Josh McEachran,750000,Out,2015
Kenedy,6300000,In,2015
Filipe Luis,11100000,Out,2015
Papy Djilobodji,4000000,In,2015
Oriol Romeu,5000000,Out,2015
Michael Hector,5400000,In,2015
Thorgan Hazard,5800000,Out,2015
Danilo Pantic,1250000,In,2015
Marco Amelia,Free,In,2015
Hubert Adamczyk,Free,In,2015
Ulises Davila,0,Out,2015
Matt Miazga,3500000,In,2015
Ramires,25000000,Out,2015
Cesc Fabregas,30000000,In,2014
David Luiz,40000000,Out,2014
Diego Costa,32000000,In,2014
Samuel Eto,Released,Out,2014
Mario Pasalic,3000000,In,2014
Ashley Cole,Released,Out,2014
Filipe Luis,15800000,In,2014
Frank Lampard,Released,Out,2014
Didier Drogba,Free,In,2014
Mark Schwartzer,Released,Out,2014
Loic Remy,10500000,In,2014
Henrique Hilario,Released,Out,2014
Juan Cuadrado,27000000,In,2014
Sam Hutchinson,Released,Out,2014
Demba Ba,4700000,Out,2014
Patrick van Aanholt,1500000,Out,2014
Romelu Lukaku,28000000,Out,2014
George Saville,1000000,Out,2014
George Cole,Released,Out,2014
Daniel pappoe,Released,Out,2014
Billy Clifford,Released,Out,2014
Milan Lallkovic,Released,Out,2014
Adam Nditi,Released,Out,2014
John Pirez,Released,Out,2014
Mark Schwarzer,Free,Out,2014
Fernando Torres,Free,Out,2014
Ryan Bertrand,10000000,Out,2014
Andre Schurrle,22000000,Out,2014
Andre Schurrle,18000000,In,2013
Adam Phillip,Released,Out,2013
Marco van Ginkel,8000000,In,2013
Amine Aflane,Released,Out,2013
Mark Schwarzer,Free,In,2013
Archange Nkumu,Released,Out,2013
Cristian Cuevas,1700000,In,2013
Aziz Deen-Conteh,Released,Out,2013
Samuel Eto'o,Free,In,2013
Ben Gordon,Released,Out,2013
Willian,30000000,In,2013
Benayoun,Released,Out,2013
Christian Atsu,3500000,In,2013
Conor Clifford,Released,Out,2013
Isaiah Brown,209000,In,2013
Florent Malouda,Released,Out,2013
Stipe Perica,Undisclosed,In,2013
Hilario,Released,Out,2013
Bertrand Traore,Free,In,2013
James Ashton,Released,Out,2013
Nemanja Matic,21000000,In,2013
Nortei,Released,Out,2013
Mohamed Salah,11000000,In,2013
Paulo Ferreira,Released,Out,2013
Kurt Zouma,12500000,In,2013
Rohan Ince,Released,Out,2013
Ross Turnbull,Released,Out,2013
Samuel Bangura,Released,Out,2013
Tom Howard,Released,Out,2013
Yossi,Released,Out,2013
Jeffrey Bruma,2500000,Out,2013
Kevin De Bruyne,17000000,Out,2013
Juan Mata,37100000,Out,2013
Sam Walker,Undisclosed,Out,2013
Michael Essien,Free,Out,2013
Marko Marin,6500000,In,2012
Jacob Mellis,Free,Out,2012
