Petr Cech,G,38,0,0,0
Ryan Bertrand,D,0,1,0,1
Jos Bosingwa,D,13,7,0,0
Jeffrey Bruma,D,1,1,0,0
Ashley Cole,D,38,0,0,3
Paulo Ferreira,D,12,9,0,2
Branislav Ivanovic,D,32,2,4,4
David Luiz,D,11,1,2,0
John Terry,D,33,0,3,1
Alex,D,12,3,2,0
Yossi Benayoun,M,1,6,1,0
Michael Essien,M,32,1,3,2
Frank Lampard,M,23,1,10,2
Florent Malouda,M,33,5,13,4
Joshua McEachran,M,1,8,0,0
John Obi Mikel,M,28,0,0,1
Ramires,M,22,7,2,0
Yury Zhirkov,M,6,6,0,2
Nicolas Anelka,F,27,5,6,4
Didier Drogba,F,30,6,11,13
Salomon Kalou,F,16,15,10,3
Fernando Torres,F,30,7,10,4
