Nathan,4500000,In
Gael Kakuta,5200000,Out
Asmir Begovic,8000000,In
Petr Cech,10000000,Out
Baba Rahman,17600000,In
Didier Drogba,Released,Out
Pedro,21400000,In
Josh McEachran,750000,Out
Kenedy,6300000,In
Filipe Luis,11100000,Out
Papy Djilobodji,4000000,In
Oriol Romeu,5000000,Out
Michael Hector,5400000,In
Thorgan Hazard,5800000,Out
Danilo Pantic,1250000,In
Marco Amelia,Free,In
Hubert Adamczyk,Free,In
Ulises Davila,0,Out
Matt Miazga,3500000,In
Ramires,25000000,Out
,,
Cesc Fabregas,30000000,In
David Luiz,40000000,Out
Diego Costa,32000000,In
Samuel Eto,Released,Out
Mario Pasalic,3000000,In
Ashley Cole,Released,Out
Filipe Luis,15800000,In
Frank Lampard,Released,Out
Didier Drogba,Free,In
Mark Schwartzer,Released,Out
Loic Remy,10500000,In
Henrique Hilario,Released,Out
Juan Cuadrado,27000000,In
Sam Hutchinson,Released,Out
Demba Ba,4700000,Out
Patrick van Aanholt,1500000,Out
Romelu Lukaku,28000000,Out
George Saville,1000000,Out
George Cole,Released,Out
Daniel pappoe,Released,Out
Billy Clifford,Released,Out
Milan Lallkovic,Released,Out
Adam Nditi,Released,Out
John Pirez,Released,Out
Mark Schwarzer,Free,Out
Fernando Torres,Free,Out
Ryan Bertrand,10000000,Out
Andre Schurrle,22000000,Out
,,
Andre Schurrle,18000000,In
Adam Phillip,Released,Out
Marco van Ginkel,8000000,In
Amine Aflane,Released,Out
Mark Schwarzer,Free,In
Archange Nkumu,Released,Out
Cristian Cuevas,1700000,In
Aziz Deen-Conteh,Released,Out
Samuel Eto'o,Free,In
Ben Gordon,Released,Out
Willian,30000000,In
Benayoun,Released,Out
Christian Atsu,3500000,In
Conor Clifford,Released,Out
Isaiah Brown,209000,In
Florent Malouda,Released,Out
Stipe Perica,Undisclosed,In
Hilario,Released,Out
Bertrand Traore,Free,In
James Ashton,Released,Out
Nemanja Matic,21000000,In
Nortei,Released,Out
Mohamed Salah,11000000,In
Paulo Ferreira,Released,Out
Kurt Zouma,12500000,In
Rohan Ince,Released,Out
Ross Turnbull,Released,Out
Samuel Bangura,Released,Out
Tom Howard,Released,Out
Yossi,Released,Out
Jeffrey Bruma,2500000,Out
Kevin De Bruyne,17000000,Out
Juan Mata,37100000,Out
Sam Walker,Undisclosed,Out
Michael Essien,Free,Out
,,
Marko Marin,6500000,In
Jacob Mellis,Free,Out
Eden Hazard,32000000,In
