Aaron Lennon,34,7
Arouna Kone,41,6
Brendan Galloway,17,0
Bryan Oviedo,41,2
Darron Gibson,48,2
Deulofeu,50,5
Gareth Barry,95,2
James McCarthy,86,4
Joel,16,0
John Stones,71,1
Kevin Mirallas,106,24
Leighton Baines,185,21
Leon Osman,157,18
Muhamed Besic,32,0
Oumar Niasse,3,0
Phil Jagielka,182,9
Ramiro Funes Mori,25,3
Romelu Lukaku,99,43
Ross Barkley,108,16
Seamus Coleman,176,15
Steven Naismith,103,19
Steven Pienaar,102,12
Tim Howard,204,1
Tom Cleverley,18,1
Tyias Browning,7,0
Aiden McGeady,32,1
Antolin Alcaraz,14,0
Christian Atsu,5,0
Luke Garbutt,5,0
Samuel Eto'o,14,3
Sylvain Distin,145,2
Tony Hibbert,62,0
John Heitinga,84,2
Marouane Fellaini,88,15
Nikica Jelavic,59,16
Apostolos Vellios,22,3
Jan Mucha,2,0
Magaye Gueye,24,1
Phil Neville,76,1
Thomas Hitzlsperger,7,0
Victor Anichebe,54,11
Conor McAleny,2,0
Denis Stracqualursi,21,1
Diniyar Bilyaletdinov,36,2
Jack Rodwell,38,2
James McFadden,7,0
Jermaine Beckford,34,8
Jose Baxter,2,0
Landon Donovan,7,0
Louis Saha,40,8
Mikel Arteta,31,4
Royston Drenthe,21,3
Shane Duffy,4,0
Tim Cahill,62,10
Adam Forshaw,1,0
James Vaughan,1,0
Yakubu Ayegbeni,14,1
