Tim Howard,G,36,0,0,0
John Ruddy,G,0,0,0,0
Iain Turner,G,1,0,0,0
Patrick Boyle,D,0,0,0,0
Tony Hibbert,D,12,1,0,0
Joleon Lescott,D,36,2,2,1
Phil Neville,D,35,0,1,5
Nuno Valente,D,10,4,0,0
Alan Stubbs,D,23,0,2,0
Joseph Yobo,D,38,0,2,0
Mikel Arteta,M,35,0,9,13
Tim Cahill,M,17,1,5,3
Lee Carsley,M,38,0,1,4
Anderson De Silva,M,--,--,--,--
Manuel Fernandes,M,8,1,2,1
Phil Jagielka,M,--,--,--,--
Leon Osman,M,31,3,3,3
Steven Pienaar,M,--,--,--,--
Anderson Silva de Franca,M,0,1,0,0
Andy Van der Meyde,M,5,3,0,0
Bjarni Thor Vidarsson,M,0,0,0,0
Victor Anichebe,F,5,14,3,3
James Beattie,F,15,18,2,3
Andrew Johnson,F,32,0,11,4
James McFadden,F,6,13,2,1
James Vaughan,F,7,7,4,1
