Andrej Kramaric,15,2
Andy King,45,3
Christian Fuchs,27,0
Daniel Amartey,4,0
Danny Drinkwater,54,2
Danny Simpson,39,0
Demarai Gray,8,0
Gokhan Inler,5,0
Jamie Vardy,67,26
Jeffrey Schlupp,51,4
Kasper Schmeichel,57,0
Leonardo Ulloa,62,14
Marc Albrighton,51,3
Marcin Wasilewski,27,1
Nathan Dyer,12,1
N'Golo Kante,32,1
Ritchie De Laet,38,1
Riyad Mahrez,62,20
Robert Huth,46,4
Shinji Okazaki,31,5
Wes Morgan,70,3
Yohan Benalouane,4,0
Anthony Knockaert,9,0
Ben Hamer,8,0
Chris Wood,7,1
David Nugent,29,5
Dean Hammond,12,0
Esteban Cambiasso,31,5
Liam Moore,11,0
Mark Schwarzer,6,0
Matthew Upson,5,0
Matty James,27,0
Nick Powell,3,0
Paul Konchesky,26,1
Tom Lawrence,3,0
