Andrej Kramari?,13,2
Andy King,24,2
Anthony Knockaert,9,0
Ben Hamer,8,0
Chris Wood,7,1
Danny Drinkwater,23,0
Danny Simpson,14,0
David Nugent,29,5
Dean Hammond,12,0
Esteban Cambiasso,31,5
Jamie Vardy,34,5
Jeffrey Schlupp,32,3
Kasper Schmeichel,24,0
Leonardo Ulloa,37,11
Liam Moore,11,0
Marc Albrighton,18,2
Marcin Wasilewski,25,1
Mark Schwarzer,6,0
Matthew Upson,5,0
Matty James,27,0
Nick Powell,3,0
Paul Konchesky,26,1
Ritchie De Laet,26,0
Riyad Mahrez,30,4
Robert Huth,14,1
Tom Lawrence,3,0
Wes Morgan,37,2
