Ben Hamer,G,--,--,0,0
Jonathan Maddison,G,0,0,0,0
Kasper Schmeichel,G,35,0,0,0
Mark Schwarzer,G,0,0,0,0
Benjamin Chilwell,D,0,0,0,0
Christian Fuchs,D,27,2,0,4
Robert Huth,D,34,0,3,0
Liam Moore,D,--,--,--,--
Wes Morgan,D,35,0,1,0
Danny Simpson,D,27,0,0,0
Marcin Wasilewski,D,1,1,0,0
Marc Albrighton,M,33,2,2,6
Daniel Amartey,M,1,4,0,0
Daniel Drinkwater,M,33,0,1,6
Nathan Dyer,M,0,13,1,1
Gokhan Inler,M,3,2,0,0
Matthew James,M,--,--,--,--
N'Golo Kant,M,30,4,1,4
Andy King,M,7,15,1,0
Riyad Mahrez,M,33,1,17,11
Andre Olukanmi,M,--,--,--,--
Jefferey Schlupp,M,13,8,1,1
Joseph Dodoo,F,0,1,0,0
Demarai Gray,F,0,9,0,1
Shinji Okazaki,F,26,7,5,0
Leonardo Ulloa,F,6,21,6,2
Jamie Vardy,F,34,0,22,6
