Simon Mignolet,G,35,1,0,0
Dejan Lovren,D,22,4,0,0
Javi Manquillo,D,10,0,0,0
Alberto Moreno,D,26,2,2,0
Mamadou Sakho,D,15,1,0,0
Martin Skrtel,D,33,0,1,0
Jos Enrique,D,2,2,0,0
Kolo Tour,D,7,5,0,0
Joe Allen,M,16,5,1,0
Emre Can,M,23,4,1,0
Philippe Coutinho,M,32,3,5,5
Steven Gerrard,M,25,4,9,1
Jordan Henderson,M,36,1,6,9
Jordon Ibe,M,7,5,0,0
Adam Lallana,M,23,4,5,3
Lucas,M,16,4,0,0
Raheem Sterling,M,34,1,7,7
Mario Balotelli,F,10,6,1,0
Fabio Borini,F,3,9,1,1
Rickie Lambert,F,7,18,2,2
Lazar Markovic,F,11,8,2,1
Daniel Sturridge,F,7,5,4,1
