Adam Bogdan,G,1,0,2015
Simon Mignolet,G,106,0,2013
Danny Ward,G,1,0,2015
Steven Caulker,D,6,0,2015
Nathaniel Clyne,D,31,1,2015
Jon Flanagan,D,38,1,2010
Joseph Gomez,D,5,0,2015
Dejan Lovren,D,48,0,2014
Alberto Moreno,D,58,3,2014
Connor Randall,D,2,0,2015
Mamadou Sakho,D,56,2,2013
Martin Skrtel,D,239,16,2007
Brad Smith,D,3,0,2013
Kevin Stewart,D,4,0,2015
Kolo Tour,D,45,1,2013
Joe Allen,M,88,3,2012
Emre Can,M,56,2,2014
Philippe Coutinho,M,104,21,2012
Jordan Henderson,M,155,19,2011
Jordon Ibe,M,37,0,2012
Adam Lallana,M,56,9,2014
James Milner,M,27,5,2015
Sheyi Ojo,M,4,0,2015
Lucas,M,220,1,2007
Jordan Rossiter,M,1,0,2015
Joao Carlos Teixeira,M,2,0,2013
Roberto Firmino,F,29,9,2015
Christian Benteke,F,25,7,2015
Danny Ings,F,5,2,2015
Divock Origi,F,16,5,2015
Daniel Sturridge,F,74,44,2012
Javi Manquillo,D,10,0,2014
Jos Enrique,D,76,2,2011
Steven Gerrard,M,367,104,2003
Raheem Sterling,M,95,18,2011
Mario Balotelli,F,16,1,2014
Fabio Borini,F,25,2,2012
Rickie Lambert,F,25,2,2014
Lazar Markovic,F,19,2,2014
Daniel Agger,D,175,9,2005
Aly Cissokho,D,15,0,2013
Glen Johnson,D,105,6,2009
Martin Kelly,D,33,0,2009
Andre Wisdom,D,14,0,2012
Luis Alberto,M,9,0,2013
Iago Aspas,F,14,0,2013
Luis Surez,F,110,69,2010
Brad Jones,G,8,0,2011
Pepe Reina,G,285,0,2005
Jamie Carragher,D,277,1,2003
Conor Coady,D,1,0,2012
Sebastin Coates,D,12,1,2011
Stewart Downing,M,65,3,2011
Jonjo Shelvey,M,47,2,2010
Oussama Assaidi,F,4,0,2012
Suso,F,14,0,2012
Doni,G,4,0,2011
Fabio Aurelio,D,73,3,2006
Charlie Adam,M,28,2,2011
Dirk Kuyt,M,208,51,2006
Maxi Rodrguez,M,40,14,2010
Jay Spearing,M,30,0,2009
Craig Bellamy,F,27,6,2011
Andy Carroll,F,61,17,2010
Paul Konchesky,D,16,0,2010
Sotirios Kyrgiakos,D,30,3,2009
Jack Robinson,D,2,0,2010
Danny Wilson,D,2,0,2010
Joe Cole,M,20,2,2010
Raul Meireles,M,33,5,2010
Christian Poulsen,M,12,0,2010
Nathan Eccleston,F,2,0,2009
Milan Jovanovic,F,10,0,2010
David Ngog,F,39,4,2008
Dani Pacheco,F,1,0,2010
Jamie Carragherr,D,37,0,2009
Emiliano Insua,D,44,0,2007
Javier Mascherano,M,93,1,2006
Yossi Benayoun,M,92,18,2007
Fernando Torres,S,79,56,2007
Fabio Aurélio,D,14,0,2009
David NGog,S,24,5,2009
Ryan Babel,M,82,11,2007
Albert Riera,M,40,3,2008
Alberto Aquilani,M,18,1,2009
Phillip Degen,D,7,0,2009
Maxi Rodríguez,M,17,1,2009
Daniel Ayala,D,5,0,2009
Stepehen Darby,D,1,0,2009
Daniel Pacheco,S,4,0,2009
Nabil El Zhar,M,21,0,2006
lvaro Arbeloa,D,66,2,2006
Andrea Dossena,D,16,1,2008
Xabi Alonso,M,143,14,2004
Damien Plessis,M,3,0,2007
Steve Finnan,D,145,1,2003
Jack Hobbs,D,2,0,2007
Sami Hyypia,D,155,10,2003
Harry Kewell,M,93,12,2003
Jermaine Pennant,M,52,3,2006
John Arne Riise,M,158,8,2003
Andriy Voronin,F,19,5,2007
Peter Crouch,F,85,20,2005
Daniele Padelli,G,1,0,2006
Mark Gonzlez,M,25,2,2006
Mohamed Sissoko,M,42,0,2005
Jerzy Dudek,G,60,0,2003
Jan Kromkamp,D,13,0,2005
Djimi Traore,D,48,0,2003
Luis Garcia,M,60,15,2004
Stephen Warnock,M,39,1,2004
Boudewijn Zenden,M,7,2,2005
Robbie Fowler,F,14,5,2005
Florent Sinama-Pongolle,F,37,4,2003
Scott Carson,G,4,0,2004
Josemi,D,15,0,2004
John Welsh,D,4,0,2003
Salif Diao,M,11,0,2003
Dietmar Hamann,M,54,2,2003
Antonio Nunez,M,18,0,2004
Darren Potter,M,2,0,2004
Milan Baros,F,39,10,2003
Djibril Ciss,F,16,4,2004
Anthony Le Tallec,F,17,0,2003
Neil Mellor,F,9,2,2004
Fernando Sanchez Morientes,F,13,3,2004
David Raven,SUB,1,0,2004
Chris Kirkland,G,5,0,2003
Patrice Luzi Bernardi,G,1,0,2003
Stephane Henchoz,D,18,0,2003
Igor Biscan,M,28,0,2003
Bruno Cheyrou,M,12,2,2003
Danny Murphy,M,30,5,2003
Vladimir Smicer,M,20,3,2003
El-Hadji Diouf,F,25,0,2003
Michael Owen,F,29,16,2003
