2015,12,82600000,1,4,4,3,10,59350000,1,3,2,4
2014,10,117000000,0,4,2,4,8,73870000,1,5,0,2
2013,9,48800000,1,5,2,1,8,28500000,0,2,3,3
2012,8,47800000,0,2,3,3,8,8000000,1,1,5,1
2011,8,56400000,2,2,4,0,10,19300000,0,5,3,2
2010,14,80000000,1,4,4,5,5,83100000,0,0,4,1
2009,11,36000000,0,6,3,2,8,39800000,0,5,2,1
2008,4,35500000,0,1,1,2,7,30250000,1,1,2,3
2007,8,56800000,0,2,4,2,8,29900000,2,0,4,2
2006,7,35640000,1,2,4,0,10,11600000,1,2,4,2
2005,10,34900000,1,3,3,3,9,13500000,1,2,3,3
2004,11,39800000,1,1,5,3,4,10500000,0,1,2,1
2003,4,10500000,1,1,1,1,0,0,0,0,0,0
2002,5,22700000,0,1,2,2,0,0,0,0,0,0
