Adam Bogdan,Free,In,2015
Brad Jones,Released,Out,2015
Christian Benteke,32500000,In,2015
Danny Ings,Tribunal,In,2015
Fabio Borini,10000000,In,2015
Glen Johnson,Released,Out,2015
Iago Aspas,4400000,Out,2015
James Milner,Free,In,2015
Joe Gomez,3500000,In,2015
Marko Grujic,5100000,In,2015
Nathaniel Clyne,12500000,In,2015
Rafael Paez,Undisclosed,Out,2015
Raheem Sterling,35200000,Out,2015
Rickie Lambert,3000000,Out,2015
Roberto Firmino,29000000,In,2015
Sebastian Coates,2000000,Out,2015
Steven Gerrard,Free,Out,2015
Adam Lallana,25000000,In,2014
Alberto Moreno,12000000,In,2014
Armin Hodzic,Free,Out,2014
Conor Coady,370000,Out,2014
Craig Roddan,Released,Out,2014
Daniel Agger,3000000,Out,2014
Dejan Lovren,20000000,In,2014
Divock Origi,10000000,In,2014
Emre Can,10000000,In,2014
Jack Robinson,1000000,Out,2014
Jakub Sokolik,Free,Out,2014
Kevin Stewart,Signed,In,2014
Krisztian Adorjan,Undisclosed,Out,2014
Lawrence Vigouroux,Signed,In,2014
Lazar Markovic,20000000,In,2014
Luis Saurez,65000000,Out,2014
Mario Balotelli,16000000,In,2014
Martin Kelly,1500000,Out,2014
Michael Ngoo,Released,Out,2014
Morocco Oussama Assaidi,4750000,Out,2014
Pepe Reina,2000000,Out,2014
Rickie Lambert,4000000,In,2014
Stephen Sama,Released,Out,2014
Suso,1000000,Out,2014
Villyan Bijev,Released,Out,2014
Yalany Baio,Released,Out,2014
Yusuf Mersin,Released,Out,2014
Adam Morgan,Free,Out,2013
Andy Carrol,15500000,Out,2013
Dani Pacheco,Free,Out,2013
Danny Wilson,Free,Out,2013
Iago Aspas,7000000,In,2013
Jamie Carragher,Retired,Out,2013
Jamie Stephens,Released,Out,2013
Jay Spearing,2000000,Out,2013
Jonjo Shelvey,5000000,Out,2013
Kolo Toure,Free,In,2013
Luis Alberto,6800000,In,2013
Mamadou Sakho,18000000,In,2013
Peter Gulasci,Free,Out,2013
Simon Mignolet,10000000,In,2013
Stewart Downing,6000000,Out,2013
Tiago Ilori,7000000,In,2013
Tyrell Belford,Released,Out,2013
Alberto Aquilani,3000000,Out,2012
Charlie Adam,4000000,Out,2012
Craig Bellamy,Free,Out,2012
Daniel Sturridge,12000000,In,2012
David Amoo,Free,Out,2012
Dirk Kuyt,1000000,Out,2012
Doni,Free,Out,2012
Fabio Aurelio,Free,Out,2012
Fabio Borini,10000000,In,2012
Joe Allen,15000000,In,2012
Joe Cole,Free,Out,2012
Joe Rafferty,Free,Out,2012
Jordan Ibe,500000,In,2012
Kirk Broadfoot,Free,Out,2012
Lewis Hatch,Free,Out,2012
Maxi Rodriguez,Undisclosed,Out,2012
Nathan Ecclestone,Free,Out,2012
Oussama Assaidi,2300000,In,2012
Philippe Coutinho,8500000,In,2012
Samed Yesil,1000000,In,2012
Stephen Darby,Free,Out,2012
Toni Brito Silva,Free,Out,2012
Charlie Adam,7000000,In,2011
Chris Mavinga,1000000,Out,2011
Christian Poulsen,1000000,Out,2011
Craig Bellamy,Free,In,2011
Daniel Ayala,800000,Out,2011
Danny Ward,100000,In,2011
David NGog,4000000,Out,2011
Doni,Free,In,2011
Emiliano Insua,Free,Out,2011
Gerardo Bruna,750000,Out,2011
Jordan Henderson,16000000,In,2011
Milan Jovanovic,Free,Out,2011
Paul Konchesky,1500000,Out,2011
Raul Meireles,12000000,Out,2011
Jose Enrique,6300000,In,2011
Sebastian Coates,7000000,In,2011
Sotirios Kyrgiakos,Free,Out,2011
Stewart Downing,20000000,In,2011
Tom Ince,Free,Out,2011
Villyan Bijev,Signed,In,2011
Albert Riera,5000000,Out,2010
Alexander Kacaniklic,Swap,Out,2010
Andy Carroll,35000000,In,2010
Brad Jones,2300000,In,2010
Christian Poulson,4500000,In,2010
Christopher Oldfield,Released,Out,2010
Danny Wilson,2000000,In,2010
David Martin,Free,Out,2010
Diego Cavalieri,1000000,Out,2010
Fernando Torres,50000000,Out,2010
Javier Mascherano,17300000,Out,2010
Joe Cole,Free,In,2010
Jonjo Shelvey,1700000,In,2010
Kristian Nemeth,1500000,Out,2010
Lauri Dalla Valle,Swap,Out,2010
Luis Suarez,23000000,In,2010
Mikel San Jose,Undisclosed,Out,2010
Milan Jovanovic,Free,In,2010
Paul Konchesky,Swap,In,2010
Raul Meireles,11500000,In,2010
Robbie Threlfall,Free,Out,2010
Ryan Babel,5800000,Out,2010
Suso,Signed,In,2010
Yossi Benayoun,5000000,Out,2010
Yusuf Mersin,450000,In,2010
Adam Hammill,Signed,Out,2009
Alberto Aquilani,17000000,In,2009
Alvaro Arbeloa,3500000,Out,2009
Andrea Dossena,4500000,Out,2009
Andriy Voronin,1800000,Out,2009
Astrit Ajdarevic,Free,Out,2009
Chris Buchtmann,100000,Out,2009
Chris Mavinga,Signed,In,2009
Glen Johnson,17500000,In,2009
Jack Hobbs,Signed,Out,2009
