Shay Given,G,35,0,0
Micah Richards,D,23,0,2
Wayne Bridge,D,23,0,0
Nedum Onuoha,D,10,0,1
Pablo Zabaleta,D,27,0,0
Michael Johnson,M,1,0,0
Stephen Ireland,M,22,0,2
Shaun Wright-Phillips,M,30,0,4
Robinho,F,10,0,0
Adam Johnson,M,16,0,1
Stuart Taylor,G,0,0,0
Roque Santa Cruz,F,19,0,3
Javier Garrido,D,9,0,1
Sylvinho,D,10,0,0
Martin Petrov,M,16,0,4
Gareth Barry,M,34,0,2
Joleon Lescott,D,18,0,1
Richard Dunne,D,2,0,0
Patrick Vieira,D,13,0,1
Emmanuel Adebayor,F,26,0,14
Benjani Mwaruwari,F,2,0,0
Kolo Touré,D,31,0,1
Carlos Tevez,F,35,0,23
Vincent Kompany,D,25,0,2
Nigel de Jong,M,34,0,0
Gunnar Nielsen,G,1,0,0
Márton Fülöp,G,3,0,0
Craig Bellamy,F,32,0,10
Vladimír Weiss,M,0,0,0
Dedryck Boyata,D,3,0,0
Greg Cunningham,D,2,0,0
Abdisalam Ibrahim,M,1,0,0
Alex Nimely,F,1,0,0
