Joe Hart,G,38,0,0,0
Gal Clichy,D,28,0,0,4
Aleksandar Kolarov,D,9,3,2,4
Vincent Kompany,D,31,0,3,1
Joleon Lescott,D,30,1,2,1
Micah Richards,D,23,6,1,5
Stefan Savic,D,5,6,1,0
Kolo Tour,D,8,6,0,0
Pablo Zabaleta,D,18,3,1,0
Gareth Barry,M,31,3,1,3
Owen Hargreaves,M,0,1,0,0
Adam Johnson,M,10,16,6,2
James Milner,M,17,9,3,5
Samir Nasri,M,27,4,5,9
David Pizarro,M,1,4,0,1
David Silva,M,33,3,6,15
Yaya Tour,M,31,1,6,6
Nigel de Jong,M,11,10,0,0
Sergio Agero,F,31,3,23,8
Mario Balotelli,F,14,9,13,1
Edin Dzeko,F,16,14,14,3
Carlos Tevez,F,7,6,4,3
