Abdisalam Ibrahim,M,1,0,2009
Abdul Razak,M,4,0,2010
Adam Johnson,M,73,11,2009
Aleksandar Kolarov,D,136,10,2010
Alex Nimely,F,1,0,2009
Andreas Isaksson,G,19,0,2006
Andy Cole,F,22,9,2005
Antoine Sibierski,M,92,11,2003
Bacary Sagna,D,35,0,2014
Ben Thatcher,D,36,0,2004
Benjani,F,46,16,2007
Bernardo Corradi,F,25,3,2006
Bersant Celina,M,1,0,2015
Carlos Tevez,F,113,58,2009
Ched Evans,F,16,1,2008
Claudio Reyna,M,62,4,2003
Costel Pantilimon,G,7,0,2013
Craig Bellamy,F,56,18,2008
Daniel Sturridge,F,5,1,2006
Danny Mills,D,51,1,2004
Darius Vassell,F,95,17,2005
David James,G,93,0,2003
David Pizarro,M,5,0,2011
David Silva,M,187,35,2010
David Sommeil,D,19,1,2003
Dedryck Boyata,D,13,0,2009
Geovanni,M,19,3,2007
Dietmar Hamann,M,45,0,2006
Edin Dzeko,F,131,50,2010
Elano,M,62,14,2007
Eliaquim Mangala,D,45,0,2014
Emile Mpenza,F,25,5,2006
Emmanuel Adebayor,F,34,15,2009
Enes Unal,F,0,0,2015
Fabian Delph,M,16,2,2015
Felipe Caicedo,F,27,5,2007
Fernandinho,M,96,10,2013
Fernando,M,47,4,2014
Frank Lampard,M,32,6,2014
Gael Clichy,D,111,1,2011
Gareth Barry,M,132,6,2009
Gelson Fernandes,M,26,2,2007
Giorgos Samaras,F,50,8,2005
Greg Cunningham,D,2,0,2009
Gunnar Nielsen,G,1,0,2009
Ishmael Miller,F,17,0,2005
Jo,F,12,0,2010
Jack Rodwell,M,16,2,2012
James Milner,M,149,14,2010
Javi Garcia,M,53,2,2012
Javier Garrido,D,49,2,2007
Jesus Navas,M,96,4,2013
Joe Hart,G,239,0,2007
Joey Barton,M,90,8,2003
Joleon Lescott,D,107,7,2009
Jonathan Macken,F,15,1,2003
Jose Pozo,M,3,0,2014
Jerome Boateng,D,16,0,2010
Kasper Schmeichel,G,1,0,2008
Kelechi Iheanacho,F,23,5,2015
Kelvin Etuhu,M,4,0,2008
Kevin De Bruyne,M,23,6,2015
Kevin Stuhr-Ellegaard,G,4,0,2003
Kizito Musampa,M,14,3,2004
Kolo Toure,D,82,2,2009
Lee Croft,M,28,1,2004
Alvaro Negredo,F,32,9,2013
Maicon,D,9,0,2012
Manu Garca,M,1,0,2015
Mario Balotelli,F,40,19,2010
Martin Petrov,M,59,9,2007
Martin Demichelis,D,77,3,2013
Marton Fulop,G,3,0,2009
Matija Nastasic,D,34,0,2012
Matthew Mills,D,1,0,2005
Micah Richards,D,179,6,2005
Michael Ball,D,40,0,2006
Michael Johnson,M,37,2,2006
Nedum Onuoha,D,95,3,2004
Nery Castillo,F,7,0,2007
Nicky Weaver,G,1,0,2004
Nicolas Anelka,F,32,17,2003
Nicolas Otamendi,D,27,1,2015
Nigel de Jong,M,103,1,2008
Ousmane Dabo,M,13,0,2006
Owen Hargreaves,M,1,0,2011
Pablo Zabaleta,D,209,8,2008
Patrick Vieira,M,28,3,2009
Paul Bosvelt,M,25,0,2003
Paul Dickov,F,16,0,2006
Paulo Wanchope,F,22,6,2003
Raheem Sterling,F,29,6,2015
Reece Wabara,D,1,0,2010
Richard Dunne,D,203,6,2003
Robbie Fowler,F,62,17,2003
Robinho,F,41,14,2008
Roque Santa Cruz,F,19,3,2009
Ryan McGivern,D,1,0,2010
Sam Williamson,D,1,0,2007
Samir Nasri,M,127,18,2011
Scott Sinclair,M,12,1,2012
Sergio Aguero,F,148,101,2011
Shaleum Logan,D,1,0,2008
Shaun Wright-Phillips,M,113,17,2003
Shay Given,G,72,0,2008
Stefan Savic,D,11,1,2011
Stephen Ireland,M,138,16,2005
Stephen Jordan,M,20,0,2003
Stevan Jovetic,F,30,8,2013
Steve McManaman,M,22,0,2003
Stuart Taylor,G,0,0,2009
Sun Jihai,D,95,1,2003
Sylvain Distin,D,107,3,2003
Sylvinho,D,10,0,2009
Tal Ben-Haim,D,9,0,2008,2009
Trevor Sinclair,M,64,5,2003
Valeri Bojinov,F,12,1,2007
Vedran Corluka,D,35,0,2007
Vincent Kompany,D,220,13,2008
Vladimir Weiss,M,1,0,2008
Wayne Bridge,D,45,0,2008
Willy Caballero,G,6,0,2014
Wilfried Bony,F,54,15,2014
Willo Flood,D,14,1,2004
Yaya Tour,M,193,57,2010
