Enes Unal,2000000,In,2015
Dedryck Boyata,1500000,Out,2015
Raheem Sterling,44000000,In,2015
Micah Richards,NA,Out,2015
Patrick Roberts,11000000,In,2015
Scott Sinclair,2500000,Out,2015
Fabian Delph,8000000,In,2015
James Milner,NA,Out,2015
Nicolas Otamendi,32000000,In,2015
Matija Nastasic,10000000,Out,2015
Kevin De Bruyne,55000000,In,2015
John Guidetti,NA,Out,2015
Anthony Caceres,100000,In,2015
Jordy Hiwula,150000,Out,2015
Karim Rekik,3500000,Out,2015
Alvaro Negredo,24000000,Out,2015
Luke Brattan,NA,Out,2015
George Evans,NA,Out,2015
Rony Lopes,9000000,Out,2015
Bacary Sagna,NA,In,2014
Costel Pantilimon,NA,Out,2014
Fernando,12000000,In,2014
Joleon Lescott,NA,Out,2014
Willy Caballero,6000000,In,2014
Alex Henshall,NA,Out,2014
Bruno Zuculini,1500000,In,2014
Gareth Barry,2000000,Out,2014
Eliaquim Mangala,40000000,In,2014
Alex Nimely,NA,Out,2014
Wilfried Bony,28000000,In,2014
Jack Rodwell,10000000,Out,2014
Javi Garcia,13000000,Out,2014
Emyr Huws,2500000,Out,2014
Reece Wabara,NA,Out,2014
Thomas Agyiri,NA,Out,2014
Kieran Kennedy,NA,Out,2014
George Swan,NA,Out,2014
Jesus Navas,22900000,In,2013
Ryan McGivern,NA,Out,2013
Fernandinho,30000000,In,2013
Carlos Tevez,12000000,Out,2013
Alvaro Negredo,20600000,In,2013
Kolo Toure,NA,Out,2013
Stevan Jovetic,25800000,In,2013
Wayne Bridge,NA,Out,2013
Zacharias Faour,400000,In,2013
Omar Elabdellaoui,NA,Out,2013
Martin Demichelis,3500000,In,2013
Roque Santa Cruz,NA,Out,2013
Jeremy Helan,400000,Out,2013
Maicon,NA,Out,2013
Denis Suurez,1000000,Out,2013
Abdul Razak,NA,Out,2013
Harry Bunn,NA,Out,2013
Jack Rodwell,15000000,In,2012
Greg Cunningham,NA,Out,2012
Scott Sinclair,8000000,In,2012
Ahmed Benali,NA,Out,2012
Matija Nastasic,12000000,In,2012
Vladimir Weiss,1500000,Out,2012
Maicon,3000000,In,2012
Emmanuel Adebayor,5000000,Out,2012
Richard Wright,NA,In,2012
Adam Johnson,10000000,Out,2012
Javi Garcia,16000000,In,2012
Stefan Savic,3000000,Out,2012
Godsway Donyoh,NA,Out,2012
Nigel De Jong,3500000,Out,2012
Owen Hargreaves,NA,Out,2012
Gai Assulin,NA,Out,2012
Andreas Mancini,NA,Out,2012
Joan Angel Roman,NA,Out,2012
Mario Balotelli,17000000,Out,2012
James Poole,NA,Out,2011
Stefan Savic,6000000,In,2011
Andrew Tutte,NA,Out,2011
Gael Clichy,7000000,In,2011
Donald McDermott,NA,Out,2011
Sergio Aguero,38000000,In,2011
Scott Kay,NA,Out,2011
Costel Pantilimon,3000000,In,2011
Shaleum Logan,NA,Out,2011
Samir Nasri,22000000,In,2011
Jerome Boateng,15000000,Out,2011
Owen Hargreaves,NA,In,2011
Shay Given,3500000,Out,2011
Luca Scapuzzi,NA,In,2011
Jo,NA,Out,2011
Craig Bellamy,NA,Out,2011
Shaun Wright-Phillips,6500000,Out,2011
Chris Chantler,NA,Out,2011
Kieran Trippier,NA,Out,2011
Nedum Onuoha,2750000,Out,2011
Ben Mee,NA,Out,2011
Jason Gilchrist,NA,Out,2011
Jerome Boateng,11000000,In,2010
Andrew Mitchell,NA,Out,2010
Alex Henshall,250000,In,2010
Benjani,NA,Out,2010
Yaya Toure,24000000,In,2010
Martin Petrov,NA,Out,2010
David Silva,25000000,In,2010
Sylvinho,NA,Out,2010
Aleksandar Kolarov,17000000,In,2010
Filip Mentel,NA,Out,2010
Mario Balotelli,24500000,In,2010
Valeri Bonjinov,5000000,Out,2010
James Milner,26000000,In,2010
Javier Garrido,2750000,Out,2010
Edin Dzeko,27000000,In,2010
Stephen Ireland,8000000,Out,2010
Adam Clayton,NA,Out,2010
Robinho,22000000,Out,2010
David Ball,NA,Out,2010
Felip Caciedo,1000000,Out,2010
Gareth Barry,12000000,In,2009
Daniel Sturridge,4000000,Out,2009
Roque Santa Cruz,17500000,In,2009
Ched Evans,3000000,Out,2009
Gunnar Nielsen,NA,In,2009
Elano,8000000,Out,2009
Stuart Taylor,Tribunal,In,2009
Gelson Fernandes,6000000,Out,2009
Carlos Tevez,25500000,In,2009
Adrian Cieslewicz,NA,Out,2009
Emmanuel Adebayor,25000000,In,2009
Kasper Schmeichel,NA,Out,2009
Kolo Toure,16000000,In,2009
Tal Ben-Haim,NA,Out,2009
Sylvinho,NA,In,2009
Richard Dunne,5000000,Out,2009
Joleon Lescott,22000000,In,2009
Angelos Tsiaklis,NA,Out,2009
Patrick Viera,NA,In,2009
Eddy Gnahore,NA,Out,2009
Adam Johnson,7000000,In,2009
Jo,18000000,In,2008
Andreas Isaksson,NA,Out,2008
Tal Ben-Haim,5000000,In,2008
Sun Jihai,NA,Out,2008
Vincent Kompany,6700000,In,2008
