Roy Carroll,G,6,0,0,0
Tim Howard,G,31,0,0,0
Wes Brown,D,15,2,0,0
Rio Ferdinand,D,19,0,0,1
Phil Neville,D,28,2,0,2
Gary Neville,D,29,0,2,4
John O'Shea,D,32,1,2,1
Mikael Silvestre,D,32,1,0,2
Eric Djemba-Djemba,M,10,5,0,2
Darren Fletcher,M,16,5,0,1
Quinton Fortune,M,17,5,0,2
Ryan Giggs,M,29,4,7,11
Roy Keane,M,24,3,3,2
Jose Kleberson,M,10,2,2,3
Cristiano Ronaldo,M,14,14,4,4
Paul Scholes,M,23,4,9,3
David Bellion,F,4,10,2,1
Diego Forln,F,10,14,4,4
Louis Saha,F,28,4,20,4
Ole Gunnar Solskjaer,F,7,6,0,2
Ruud van Nistelrooy,F,30,1,20,1
