Edwin van der Sar,G,21,0,0
Gary Neville,D,15,2,0
Patrice Evra,D,37,1,0
Owen Hargreaves,M,0,1,0
Rio Ferdinand,D,12,1,0
Wes Brown,D,18,1,0
Michael Owen,F,5,14,3
Anderson,M,10,4,1
Dimitar Berbatov,F,24,9,12
Wayne Rooney,F,32,0,26
Ryan Giggs,M,20,5,5
Ben Foster,G,9,0,0
Park Ji-Sung,M,10,7,3
Zoran Toši?,M,0,0,0
Nemanja Vidi?,D,24,0,1
Michael Carrick,M,22,8,3
Nani,M,19,4,3
Paul Scholes,M,24,4,3
Danny Welbeck,F,1,4,0
Fábio,D,1,4,0
Rafael,D,8,0,1
John O'Shea,D,12,3,1
Jonny Evans,D,18,0,0
Darren Fletcher,M,29,1,4
Antonio Valencia,M,29,5,5
Gabriel Obertan,F,1,6,0
Federico Macheda,F,1,4,1
Darron Gibson,M,6,9,2
Tomasz Kuszczak,G,8,0,0
Ritchie De Laet,D,2,0,0
Corry Evans,M,0,0,0
Mame Biram Diouf,F,0,5,1
