Adnan Januzaj,M,49,5,2013
Alan Smith,F,61,7,2004
Alexander Buttner,D,13,2,2012
Ander Herrera,M,49,9,2014
Anders Lindegaard,G,19,0,2011
Anderson,M,100,5,2007
Andreas Pereira,M,5,0,2014
Anthony Martial,F,28,8,2015
Antonio Valencia,D,172,13,2009
Ashley Young,M,107,10,2011
Bastian Schweinsteiger,M,18,1,2015
Bebe,F,2,0,2010
Ben Amos,G,1,0,2011
Ben Foster,G,12,0,2007
Cameron Borthwick-Jackson,D,8,0,2015
Carlos Tevez,F,34,14,2007
Chris Eagles,M,6,1,2006
Chris Smalling,D,131,6,2010
Corry Evans,M,0,0,2009
Cristiano Ronaldo,M,162,66,2003
Daley Blind,D,57,3,2014
Danny Simpson,D,3,0,2007
Danny Welbeck,F,90,20,2008
Darren Fletcher,M,211,18,2003
Darron Gibson,M,30,3,2008
David Bellion,F,24,4,2003
David De Gea,G,131,0,2011
Diego Forlan,F,24,4,2003
Dimitar Berbatov,F,109,48,2008
Donald Love,D,1,0,2015
Edwin van der Sar,G,186,0,2005
Eric Djemba-Djemba,M,15,0,2003
Ezekiel Fryers,D,2,0,2011
Fabio,D,21,1,2010
Fangzhou Dong,F,1,0,2006
Federico Macheda,F,16,4,2008
Kieran Richardson,M,24,1,2004
Gabriel Heinze,D,52,1,2004
Gabriel Obertan,M,14,0,2009
Gary Neville,D,133,2,2003
Gerard Piqu,D,12,0,2005
Giuseppe Rossi,F,5,1,2005
Gullermo Varela,D,4,0,2015
James Weir,M,1,0,2015
James Wilson,F,14,3,2013
Javier Hernandez,F,101,37,2010
Jesse Lingard,M,21,4,2015
John O'Shea,D,215,10,2003
Jonny Evans,D,131,4,2008
Kleberson,M,20,2,2003
Juan Mata,M,95,20,2013
Kieran Lee,D,1,0,2006
Liam Miller,M,9,0,2004
Louis Saha,F,106,41,2003
Luke Shaw,D,21,0,2014
Mame Biram Diouf,F,5,1,2009
Marcos Rojo,D,35,0,2014
Marcus Rashford,F,8,4,2015
Marouane Fellaini,M,63,7,2013
Matteo Darmian,D,27,1,2015
Memphis Depay,F,26,2,2015
Michael Carrick,M,287,17,2006
Michael Owen,F,31,5,2009
Mikael Silvestre,D,118,4,2003
Morgan Schneiderlin,M,27,1,2015
Nani,M,146,25,2007
Nemanja Vidic,D,211,15,2005
Angel Di Maria,M,27,3,2014
Nick Powell,F,2,1,2012
Ole Gunnar Solskjaer,F,35,7,2003
Owen Hargreaves,M,27,2,2007
Park Ji-Sung,M,133,20,2005
Patrice Evra,D,273,7,2005
Patrick McNair,D,24,0,2014
Paul Pogba,M,3,0,2011
Paul Scholes,M,238,38,2003
Phil Jones,D,105,2,2011
Phil Neville,D,49,0,2003
Phillip Bardsley,D,8,0,2005
Quinton Fortune,M,39,0,2003
Radamel Falcao,F,26,4,2014
Rafael,D,109,5,2008
Rio Ferdinand,D,283,7,2003
Ritchie De Laet,D,3,0,2008
Robin van Persie,F,86,48,2012
Roy Carroll,G,6,0,2003
Roy Keane,M,58,4,2003
Ruud van Nistelrooy,F,48,26,2003
Ryan Giggs,M,290,35,2003
Sergio Romero,G,4,0,2015
Shinji Kagawa,M,38,6,2012
Tim Howard,G,44,0,2003
Timothy Fosu-Mensah,D,7,0,2015
Tom Cleverley,M,54,3,2011
Tom Lawrence,F,1,0,2013
Tomasz Kuszczak,G,32,0,2006
Victor Valdes,G,2,0,2014
Wayne Rooney,F,364,177,2005
Wes Brown,D,149,3,2003
William Keane,F,2,0,2011
Zoran Tosic,M,2,0,2008
