2015,12,103200000,1,4,4,3,9,75250000,2,2,2,3
2014,10,147900000,1,5,3,1,14,39300000,0,4,4,6
2013,5,64600000,0,0,3,2,2,0,0,1,1,0
2012,6,62900000,0,1,1,4,7,7500000,1,2,2,2
2011,8,52900000,2,2,3,1,9,12700000,1,3,4,1
2010,4,26900000,1,1,0,2,2,13000000,1,0,1,0
2009,6,21000000,0,1,3,2,4,84000000,0,1,1,2
2008,8,38250000,0,3,2,3,4,2000000,0,1,1,2
2007,8,59250000,1,2,3,2,8,34200000,0,4,1,3
2006,3,18600000,0,1,2,0,4,13300000,1,0,2,1
2005,7,19500000,2,4,1,0,4,6000000,0,1,2,1
2004,2,27200000,0,0,0,2,4,5850000,1,0,2,1
2003,18,53150000,1,5,7,5,3,40000000,1,0,2,0
2002,2,27550000,0,1,1,0,3,2000000,0,1,0,1
