Memphis Depay,25000000,In,2015
Tom Cleverly,Free,Out,2015
Matteo Darmian,12700000,In,2015
Ben Amos,Released,Out,2015
Morgan Schneiderlin,24000000,In,2015
Tom Thorpe,Released,Out,2015
Bastian Schweinsteiger,6500000,In,2015
Nani,4250000,Out,2015
Sergio Romero,Free,In,2015
Robin van Persie,4200000,Out,2015
Anthony Martial,35000000,In,2015
Angel Di Maria,44300000,Out,2015
Regan Poole,400000,In,2015
Rafael,2500000,Out,2015
Jonny Evans,8000000,Out,2015
Javier Hernandez,12000000,Out,2015
Saidy Janko,Compensation,2015
Reece James,200000,Out,2015
Anders Lindegaard,Free,Out,2015
Liam Grimshaw,Undisclosed,Out,2015
Vanja Milinkovic,Undisclosed,In,2014
Federico Macheda,Free,Out,2014
Ander Herrera,29000000,In,2014
Alexander Buttner,4400000,Out,2014
Luke Shaw,27000000,In,2014
Jack Barmby,Free,Out,2014
Marcos Rojo,16000000,In,2014
Rio Ferdinand,Released,Out,2014
Angel Di Maria,59700000,In,2014
Nemanja Vidic,Released,Out,2014
Daley Blind,13800000,In,2014
Ryan Giggs,Released,Out,2014
Victor Valdes,Free,In,2014
Louis Rowley,Free,Out,2014
Sadiq El Fitouri,Free,Out,2014
Patrice Evra,1500000,Out,2014
Bebe,2400000,Out,2014
Shinji Kagawa,7000000,Out,2014
Danny Welbeck,16000000,Out,2014
Tom Lawrence,1000000,Out,2014
Charni Ekangamene,Undisclosed,Out,2014
Sam Byrne,Released,Out,2014
Jack Rudge,Released,Out,2014
Michael Keane,3000000,Out,2014
Darren Fletcher,Free,Out,2014
Marnick Vermijl,Undisclosed,Out,2014
Wilfried Zaha,6000000,Out,2014
Anderson,Free,Out,2014
Guillermo Varela,2400000,In,2013
Freddie Veseli,Released,Out,2013
Marouane Fellaini,27500000,In,2013
Gyliano Van Velzen,Released,Out,2013
Saidy Janko,700000,In,2013
John Cofie,Released,Out,2013
Juan Mata,37100000,In,2013
Luke Giverin,Released,Out,2013
Luke Hendrie,Released,Out,2013
Luke McCullough,Released,Out,2013
Michele Fornasier,Released,Out,2013
Reece Brown,Released,Out,2013
Paul Scholes,Retired,Out,2013
Fabio,Nominal,Out,2013
Nick Powell,6000000,In,2012
Matthew James,1000000,Out,2012
Shinji Kagawa,12000000,In,2012
Ritchie De Laet,1000000,Out,2012
Sean Goss,100000,In,2012
Oliver Norwood,400000,Out,2012
Robin Van Persie,22000000,In,2012
Tomasz Kuszczak,Free,Out,2012
Angelo Henrique,4000000,In,2012
Park Ji-Sung,2500000,Out,2012
Alexander Buttner,3900000,In,2012
Paul Pogba,Free,Out,2012
Wilfred Zaha,15000000,In,2012
Dimitar Berbatov,4000000,Out,2012
Michael Owen,Released,Out,2012
Joshua King,1000000,Out,2012
Robbie Brady,2000000,Out,2012
Ezekiel Fryers,Free,Out,2012
Phil Jones,17000000,In,2011
Corry Evans,500000,Out,2011
David De Gea,18900000,In,2011
Joe Dudgeon,300000,Out,2011
Ashley Young,17000000,In,2011
John O'Shea,4500000,Out,2011
Paul Scholes,Free,In,2011
Wes Brown,1200000,Out,2011
Nicholas Ajose,Undisclosed,Out,2011
Gabriel Obertan,3000000,Out,2011
Darron Gibson,2000000,Out,2011
Daniel Drinkwater,750000,Out,2011
Ravel Morrison,1000000,Out,2011
Mame Biram Diouf,1500000,Out,2011
Chris Smalling,10000000,In,2010
Ben Foster,6000000,Out,2010
Javier Hernandez,6000000,In,2010
Zoran Tosic,7000000,Out,2010
Marnick Vermijl,300000,In,2010
Tom Heaton,Free,Out,2010
Bebe,7400000,In,2010
Ron-Robert Zieler,Free,Out,2010
Anders Lindegaard,3500000,In,2010
David Gray,Free,Out,2010
Craig Cathcart,350000,Out,2010
James Chester,300000,Out,2010
Cameron Stewart,Undisclosed,Out,2010
Magnus Eikrem,Undisclosed,Out,2010
Antonio Valencia,16000000,In,2009
Cristiano Ronaldo,80000000,Out,2009
Michael Owen,Free,In,2009
Lee Martin,1500000,Out,2009
Gabriel Obertan,3000000,In,2009
Fraizer Campbell,3500000,Out,2009
Mame Biram Diouf,2000000,In,2009
Richard Eckersley,Tribunal,Out,2009
Paul Pogba,Nominal,In,2009
Manucho,Undisclosed,Out,2009
Danile Galbraith,Free,Out,2009
Carlos Tevez,Free,Out,2009
Danny Simpson,500000,Out,2009
Dimitar Berbatov,30750000,In,2008
Ritchie Jones,Free,Out,2008
Zoran Tosic,5000000,In,2008
Chris Eagles,1250000,Out,2008
Michael Lea,Free,Out,2008
Ritchie De Laet,Undisclosed,In,2008
Mikael Sylvestre,750000,Out,2008
Louis Saha,Signed,Out,2008
Manucho,Signed,In,2007
Gerard Pique,6000000,Out,2007
Carlos Tevez,9000000,In,2007
Kieran Lee,Free,Out,2007
Nani,13500000,In,2007
Phil Bardsley,2000000,Out,2007
Tomasz Kuszczak,2150000,In,2007
Ryan Shawcross,1000000,Out,2007
Anderson,15000000,In,2007
Adam Eckersley,Free,Out,2007
Owen Hargreaves,17000000,In,2007
Phil Marsh,Free,Out,2007
Rafael Da Silva,2500000,In,2007
Gabriel Heinze,8000000,Out,2007
Fabio,2600000,In,2007
Alan Smith,6000000,Out,2007
Rodrigo Possebon,Signed,In,2007
Daniel Rose,Signed,Out,2007
Giuseppe Rossi,6700000,In,2007
Kieran Richardson,5500000,Out,2007
Michael Carrick,18600000,In,2006
Tim Howard,3000000,Out,2006
David Jones,1000000,Out,2006
Liam Miller,Free,Out,2006
Paul McShane,Free,Out,2006
Luke Steele,Signed,Out,2006
Ruud van Nistelrooy,10300000,Out,2006
Quinton Fortune,Free,Out,2006
Sylvain Ebanks-Blake,200000,Out,2006
Patrice Evra,5500000,In,2005
Nemanja Vidic,7000000,In,2005
Eddie Johnson,Free,Out,2005
Ben Foster,1000000,In,2005
Jonathan Spector,500000,Out,2005
Park Ji-Sung,4000000,In,2005
Tommy Lee,Free,Out,2005
Edwin van der Sar,2000000,In,2005
Phil Picken,Free,Out,2005
Colin Heath,Signed,Out,2005
Neil Wood,Free,Out,2005
David Fox,Free,Out,2005
Roy Keane,Free,Out,2005
Kleberson,2500000,Out,2005
Phil Neville,3500000,Out,2005
Michael Stewart,Signed,Out,2005
Paul Tierney,Signed,Out,2005
David Bellion,Undisclosed,Out,2005
Daniel Nardiello,Free,Out,2005
Florent N'Galula,0,In,2004
Steven Hogg,Free,Out,2004
Wayne Rooney,27000000,In,2004
Ricardo,Free,Out,2004
Giuseppe Rossi,200000,In,2004
Roy Carroll,Free,Out,2004
David Poole,Free,Out,2004
Eric Djemba-Djemba,1350000,Out,2004
Bojan Djordjic,Free,Out,2004
Diego Forlan,2000000,Out,2004
Luke Chadwick,Free,Out,2004
Nicky Butt,2500000,Out,2004
Mark Lynch,Signed,Out,2004
Liam Miller,Free,In,2003
Luke Daniels,Free,Out,2003
Gabriel Heinze,6900000,In,2003
Ben Williams,Free,Out,2003
Alan Smith,7000000,In,2003
Danny Pugh,Swap,Out,2003
Louis Saha,12820000,In,2003
Fabien Barthez,Free,Out,2003
Dong,500000,In,2003
Matt Williams,Free,Out,2003
Cristiano Ronaldo,12200000,In,2003
Alan Tate,Free,Out,2003
Kleberson,5930000,In,2003
David May,Free,Out,2003
Tim Howard,2300000,In,2003
Juan Veron,15000000,Out,2003
Eric Djemba-Djemba,3500000,In,2003
Danny Webber,Nominal,Out,2003
David Bellion,2000000,In,2003
David Beckham,25000000,Out,2003
Lee Martin,200000,In,2003
John Rankin,0,Out,2003
Ricardo,1500000,In,2002
Lee Roche,Free,Out,2002
Rio Ferdinand,27550000,In,2002
Kirk Hilton,Free,Out,2002
Kieran Richardson,Unknown,In,2002
Ben Muirhead,Free,Out,2002
Ronny Johnsen,Free,Out,2002
Dwight Yorke,2000000,Out,2002
Andy Taylor,Free,Out,2002
Denis Irwin,Free,Out,2002
Nick Culkin,Free,Out,2002
Ronnie Wallwork,Free,Out,2002
Luke Steele,500000,In,2001
Rai Van Der Gouw,Free,Out,2001
Diego Forlan,6900000,In,2001
Paul Rachubka,200000,Out,2001
Laurent Blanc,Free,In,2001
Michael Clegg,Free,Out,2001
Roy Carroll,2500000,In,2001
Andy Cole,7500000,Out,2001
Juan Veron,28100000,In,2001
Jesper Blomqvist,Free,Out,2001
Ruud Van Nistelrooy,19000000,In,2001
Michael Twiss,Signed,Out,2001
Jaap Stam,16500000,Out,2001
George Clegg,Free,Out,2001
Jonathan Greening,2000000,Out,2001
Mark Wilson,1500000,Out,2001
Stephen Cosgrove,Free,Out,2001
Michael Rose,Free,Out,2001
Josh Walker,Free,Out,2001
Marc Whiteman,Free,Out,2001
Teddy Sheringham,Free,Out,2000
Ashley Dodd,Free,Out,2000
Rhodri Jones,Free,Out,2000
Mark Bosnich,Free,Out,2000
David Healy,1800000,Out,2000
Henning Berg,1750000,Out,2000
Alex Notman,250000,Out,2000
Steve Rose,Free,Out,2000
Jordi Cruyff,Free,Out,2000
Massimo Taibi,2500000,Out,2000
Danny Higginbotham,2000000,Out,2000
Fabien Barthez,7800000,In,1999
Paul Wheatcroft,Free,Out,1999
Mikael Silvestre,4000000,In,1999
John Curtis,1500000,Out,1999
Massimo Taibi,4500000,In,1999
Ritchie Wellens,Nominal,Out,1999
Quinton Fortune,1500000,In,1999
Ian Fitzpatrick,Free,Out,1999
Mark Bosnich,Free,In,1999
Ryan Ford,Nominal,Out,1999
Erik Nevland,250000,Out,1999
Jamie Wood,Free,Out,1999
Peter Schmeichel,Free,Out,1999
Bojan Djordjic,Signed,In,1998
Terry Cooke,1000000,Out,1998
Dwight Yorke,12600000,In,1998
Michael Ryan,Free,Out,1998
Jesper Blomqvist,4400000,In,1998
Paul Gibson,Free,Out,1998
Jaap Stam,10750000,In,1998
Phil Mulryne,500000,Out,1998
Chris Casper,300000,Out,1998
Jonathan Greening,1150000,In,1997
Gary Pallister,2500000,Out,1997
Henning Berg,5000000,In,1997
Ben Thornley,175000,Out,1997
Robert Trees,Free,Out,1997
Grant Brebner,300000,Out,1997
Tommy Smith,Signed,Out,1997
John O'Kane,400000,Out,1997
Karel Poborsky,3000000,Out,1997
Pat McGibbon,250000,Out,1997
Michael Appleton,500000,Out,1997
Jon Macken,1300000,Out,1997
Colin Murdock,100000,Out,1997
Simon Davies,150000,Out,1997
Erik Nevland,1500000,In,1996
Lee Sharpe,4500000,Out,1996
Teddy Sheringham,3500000,In,1996
Jordi Cruyff,1300000,In,1995
Tony Coton,600000,Out,1995
Karel Poborsky,3500000,In,1995
Steve Bruce,Free,Out,1995
Ole Solskjaer,1500000,In,1995
Gary Twynham,Free,Out,1995
Ronny Johnsen,1200000,In,1995
Richard Flash,Free,Out,1995
Rai Van Der Gouw,500000,In,1995
Andrei Kanchelskis,5000000,Out,1995
Tony Coton,500000,In,1995
Gary Walsh,250000,Out,1995
Nick Culkin,250000,In,1995
Andy Cole,7000000,In,1994
Ashley Westwood,40000,Out,1994
David May,1250000,In,1994
Richard Irving,75000,Out,1994
David Johnson,Free,Out,1994
Mark Rawlinson,Free,Out,1994
Mark Hughes,1500000,Out,1994
Paul Ince,7000000,Out,1994
Keith Gillespie,1000000,Out,1994
Dion Dublin,2000000,Out,1994
Colin McKee,265000,Out,1994
Neil Whitworth,350000,Out,1994
David Pierce,Free,Out,1994
Craig Lawton,Free,Out,1994
Graeme Tomlinson,100000,In,1993
Robbie Savage,Free,Out,1993
Roy Keane,3750000,In,1993
Les Sealey,Free,Out,1993
Clayton Blackmore,Free,Out,1993
Mike Phelan,Free,Out,1993
Bryan Robson,Free,Out,1993
Lee Martin,350000,Out,1993
Darren Ferguson,250000,Out,1993
Danny Wallace,400000,Out,1993
Les Sealey,Free,In,1992
Brian Carey,250000,Out,1992
Eric Cantona,1200000,In,1992
Russell Beardsmore,Free,Out,1992
Dion Dublin,1000000,In,1992
Neil Webb,800000,Out,1992
Pat McGibbon,100000,In,1992
Derek Brazil,85000,Out,1992
Mark Robins,800000,Out,1992
Mal Donaght,150000,Out,1992
