Fraser Forster,G,--,--,0,0
Steve Harper,G,18,0,0,0
Tim Krul,G,20,1,0,0
Ole Soderberg,G,0,0,0,0
Sol Campbell,D,4,3,0,0
Fabricio Coloccini,D,35,0,2,0
Matthew Grieve,D,--,--,--,--
Tamas Kadar,D,0,0,0,0
Patrick McLaughlin,D,--,--,--,--
James Perch,D,9,3,0,0
Danny Simpson,D,30,0,0,0
Jos Enrique,D,36,0,0,1
James Tavernier,D,0,0,0,0
Ryan Taylor,D,3,3,0,1
Steven Taylor,D,12,2,3,1
Ben Tozer,D,--,--,--,--
Michael Williamson,D,28,1,0,1
Joey Barton,M,32,0,4,9
Hatem Ben Arfa,M,3,1,1,0
Shane Ferguson,M,3,4,0,0
Dan Gosling,M,0,1,0,0
Danny Guthrie,M,11,3,0,1
Jons Gutirrez,M,34,3,3,4
Bradden Inman,M,--,--,--,--
Stephen Ireland,M,6,6,0,0
Kazenga LuaLua,M,0,2,0,0
Kevin Nolan,M,30,0,12,1
Michael Richardson,M,0,0,0,0
Wayne Routledge,M,10,7,0,1
Alan Smith,M,7,4,0,0
Ismael Tiot,M,26,0,1,1
Haris Vuckic,M,0,0,0,0
Philip Airey,F,--,--,--,--
Shola Ameobi,F,21,7,6,3
Sammy Ameobi,F,0,1,0,0
Leon Best,F,9,2,6,0
Ryan Donaldson,F,0,0,0,0
Joan Edmundsson,F,--,--,--,--
Shefki Kuqi,F,0,6,0,0
Peter Lvenkrands,F,18,7,6,3
Nile Ranger,F,1,23,0,1
Xisco,F,0,2,0,1
