Daniel Bachmann,G,--,--,0,0
Asmir Begovic,G,32,0,0,0
Jack Butland,G,2,1,0,0
Thomas Sorensen,G,4,0,0,0
Geoff Cameron,D,37,0,2,1
Robert Huth,D,12,0,0,1
Marc Muniesa,D,7,6,0,0
Erik Pieters,D,34,2,1,2
Ryan Shawcross,D,37,0,1,0
Ryan Shotton,D,0,0,0,0
Andy Wilkinson,D,2,3,0,0
Marc Wilson,D,30,3,0,0
Charlie Adam,M,20,11,7,4
Lucas Dawson,M,--,--,--,--
Matthew Etherington,M,5,6,0,0
Stephen Ireland,M,14,11,2,2
Jamie Ness,M,0,0,0,0
Steven N'Zonzi,M,34,2,2,1
Wilson Palacios,M,6,11,0,0
Brek Shea,M,0,1,0,0
Charlie Ward,M,0,0,0,0
Glenn Whelan,M,28,4,0,1
Juan Agudelo,F,--,--,--,--
Marko Arnautovic,F,27,3,4,7
Peter Crouch,F,30,4,8,5
Cameron Jerome,F,--,--,--,--
Peter Odemwingie,F,26,4,6,1
Jonathan Walters,F,27,5,5,2
