Adam Johnson,122,19
Adam Matthews,1,0
Billy Jones,37,1
Costel Pantilimon,45,0
Dame N'Doye,9,1
Danny Graham,37,1
DeAndre Yedlin,17,0
Duncan Watmore,17,2
Fabio Borini,53,10
Jack Rodwell,44,3
Jan Kirchhoff,10,0
Jeremain Lens,19,2
Jermain Defoe,45,16
John O'Shea,157,3
Jordan Pickford,1,0
Jordi Gomez,35,4
Lamine Kone,9,0
Lee Cattermole,111,2
Ola Toivonen,12,0
Patrick van Aanholt,56,5
Sebastian Coates,26,0
Sebastian Larsson,149,12
Steven Fletcher,94,23
Vito Mannone,53,0
Wahbi Khazri,9,1
Wes Brown,76,1
Yann M'Vila,31,1
Younes Kaboul,18,0
Anthony Reveillere,16,0
Connor Wickham,79,11
Emanuele Giaccherini,32,4
Jozy Altidore,42,1
Liam Bridcutt,30,0
Mikael Mandron,3,0
Ricardo Alvarez,13,0
Santiago Vergini,42,0
Valentin Roberge,10,0
Will Buckley,22,0
Andrea Dossena,7,0
Cabral,1,0
Charis Mavrias,4,0
Craig Gardner,81,11
Cuellar,30,1
David Vaughan,48,3
Dong-won Ji,24,2
El-Hadji Ba,1,0
Ignacio Scocco,6,0
Jack Colback,103,4
Keiren Westwood,19,0
Marcos Alonso,16,0
Modibo Diakite,7,0
Ondrej Celustka,21,0
Phil Bardsley,75,4
Stephane Sessegnon,73,14
Sung-yueng Ki,27,3
Adam Mitchell,1,0
Ahmed Al-Muhammadi,20,1
Alfred N'Diaye,16,0
Billy Knott,1,0
Danny Rose,27,1
David Meyler,10,0
Frazier Campbell,24,2
James McClean,59,7
James McFadden,3,0
Kader Mangane,2,0
Kieran Richardson,30,2
Louis Saha,11,0
Matt Kilgallon,16,0
Simon Mignolet,67,0
Titus Bramble,24,1
Anton Ferdinand,3,0
Asamoah Gyan,3,0
Craig Gordon,1,0
Michael Turner,24,0
Nicklas Bendtner,28,8
Ryan Noble,2,0
Sotirios Kyrgiakos,3,0
Wayne Bridge,8,0
