Ben Alnwick,G,5,0,0,0
Trevor Carson,G,--,--,0,0
Steven Caldwell,D,23,1,0,1
Neill Collins,D,0,0,0,0
George McCartney,D,14,0,0,0
Daniel Smith,D,1,2,0,0
Stephen Wright,D,2,0,0,0
Christian Bassila,M,12,1,0,0
Danny Collins,M,23,1,1,1
Rory Delap,M,6,1,1,0
Liam Lawrence,M,20,10,3,0
Grant Leadbitter,M,9,4,0,0
Tommy Miller,M,27,3,3,0
Nyron Nosworthy,M,24,6,0,0
Dean Whitehead,M,38,0,3,7
Chris Brown,F,11,3,1,0
Stephen Elliott,F,11,4,2,0
Kevin Kyle,F,9,4,1,0
Daryl Murphy,F,5,13,1,0
Jonathan Stead,F,22,9,1,0
Andrew Welsh,F,12,2,0,1
