Paul Robinson,G,38,0,0,0
Benot Assou-Ekotto,D,16,0,0,1
Pascal Chimbonda,D,33,0,1,4
Michael Dawson,D,37,0,1,1
Anthony Gardner,D,6,2,0,0
Philip Ifil,D,1,0,0,0
Ledley King,D,21,0,0,1
Lee Young-Pyo,D,20,1,0,0
Ricardo Rocha,D,9,0,0,0
Paul Stalteri,D,1,5,1,0
Hossam Ghaly,M,17,4,1,4
Tom Huddlestone,M,15,6,1,2
Jermaine Jenas,M,24,1,6,3
Aaron Lennon,M,22,4,3,8
Steed Malbranque,M,18,7,2,4
Danny Murphy,M,5,7,2,1
Jamie O'Adel Taarabt,M,0,2,0,0
Teemu Tainio,M,20,1,2,0
Didier Zokora,M,26,5,0,1
Dimitar Berbatov,F,30,3,12,11
Jermain Defoe,F,20,14,10,2
Robbie Keane,F,18,9,11,3
Hossam Mido,F,7,5,1,0
