Ledley King,D,20,0,2
Jamie O'Hara,M,2,0,0
Michael Dawson,D,29,0,2
Tom Huddlestone,M,33,0,2
Aaron Lennon,M,22,0,3
Jermaine Jenas,M,19,0,1
Benoit Assou-Ekotto,D,30,0,1
Ben Alnwick,G,1,0,0
Gareth Bale,D,23,0,3
Danny Rose,M,1,0,1
Jonathan Woodgate,D,3,0,0
Alan Hutton,D,8,0,0
Luka Modric,M,25,0,3
Heurelho Gomes,G,31,0,0
David Bentley,M,15,0,2
Roman Pavlyuchenko,F,16,0,5
Vedran Corluka,D,29,0,1
Carlo Cudicini,G,7,0,0
Wilson Palacios,M,33,0,1
Kyle Naughton,D,1,0,0
Kyle Walker,D,2,0,0
Sebastien Bassong,D,28,0,1
Niko Kranjcar,M,24,0,6
Eidur Gudjohnsen,F,11,0,1
