Kieran Trippier,3500000,In,2015
Paulinho,9000000,Out,2015
Kevin Wimmer,4300000,In,2015
Lewis Holtby,4600000,Out,2015
Toby Alderweireld,11500000,In,2015
Brad Friedel,NA,Out,2015
Clinton N'Jie,12200000,In,2015
Jordan Archer,NA,Out,2015
Son Heung-Min,22000000,In,2015
Cristian Ceballos,NA,Out,2015
Shilow Tracey,NA,Out,2015
Bongani Khumalo,NA,Out,2015
Alexander McQueen,NA,Out,2015
Etienne Capoue,7000000,Out,2015
Younes Kaboul,3000000,Out,2015
Benjamin Stambouli,6000000,Out,2015
Ryan Fredericks,250000,Out,2015
Grant Hall,NA,Out,2015
Vlad Chriches,4500000,Out,2015
Roberto Soldado,10000000,Out,2015
Aaron Lennon,4500000,Out,2015
Kenny McEvoy,NA,Out,2015
Shaquile Coulthirst,NA,Out,2015
Andros Townsend,12000000,Out,2015
Milos Veljkovic,500000,Out,2015
Ben Davies,NA,In,2014
Heurelho Gomes,NA,Out,2014
Michel Vorm,3500000,In,2014
Jake Livermore,8000000,Out,2014
Eric Dier,4000000,In,2014
Cameron Lancaster,NA,Out,2014
DeAndre Yedlin,2750000,In,2014
Gylfi Sigurdsson,NA,Out,2014
Federico Fazio,8000000,In,2014
Iago Falque,5000000,Out,2014
Benjamin Stambouli,4700000,In,2014
Michael Dawson,3500000,Out,2014
Dele Alli,5000000,In,2014
Cameron Lancaster,NA,Out,2014
Ezekiel Fryers,1500000,Out,2014
Jonathan Obika,200000,Out,2014
Sandro,6000000,Out,2014
Lawrence Vigouroux,NA,Out,2014
Kevin Stewart,NA,Out,2014
Darren McQueen,NA,Out,2014
Giancarlo Gallifuoco,NA,Out,2014
Roman Michael-Percil,NA,Out,2014
Jonathan Miles,NA,Out,2014
Kyle Naughton,5000000,Out,2014
Benoit Assou Ekotto,NA,Out,2014
Paulinho,17000000,In,2013
Nathan Byrne,NA,Out,2013
Nacer Chadli,7000000,In,2013
Jack Barthram,NA,Out,2013
Roberto Soldado,25800000,In,2013
David Bentley,NA,Out,2013
Etienne Capoue,8600000,In,2013
Jack Munns,NA,Out,2013
Christian Eriksen,11000000,In,2013
Jake Nicholson,NA,Out,2013
Erik Lamela,25800000,In,2013
John Bostock,NA,Out,2013
Vlad Chiriches,8500000,In,2013
William Gallas,NA,Out,2013
Steven Caulker,8000000,Out,2013
Tom Huddlestone,5250000,Out,2013
Clint Dempsey,5800000,Out,2013
Scott Parker,2000000,Out,2013
Gareth Bale,91800000,Out,2013
Massimo Luongo,400000,Out,2013
Simon Dawkins,500000,Out,2013
Adam Smith,250000,Out,2013
Jermain Defoe,6000000,Out,2013
Gylfi Sigurdsson,8000000,In,2012
Niko Kranjcar,7000000,Out,2012
Jan Vertonghen,10000000,In,2012
Vedran Corluka,5500000,Out,2012
Emmanuel Adebayor,5000000,In,2012
Ryan Nelsen,NA,Out,2012
Moussa Dembele,15000000,In,2012
Lee Angol,NA,Out,2012
Hugo Lloris,12000000,In,2012
Ben Alnwick,NA,Out,2012
Clint Dempsey,7000000,In,2012
Steven Pienaar,4500000,Out,2012
Ezekiel Fryers,3000000,In,2012
Sebastien Bassong,4000000,Out,2012
Lewis Holtby,1500000,In,2012
Luka Modric,30000000,Out,2012
David Button,500000,Out,2012
Rafael Van der Vaart,10300000,Out,2012
Giovani dos Santos,1000000,Out,2012
Louis Saha,NA,Out,2012
Carlo Cudicini,NA,Out,2012
Jermaine Jenas,NA,Out,2012
Brad Friedel,NA,In,2011
Jamie O'Hara,5000000,Out,2011
Cristian Ceballos,NA,In,2011
Jonathan Woodgate,NA,Out,2011
Souleymane Coulibaly,2000000,In,2011
Paul-Jose Mpoku,NA,Out,2011
Yago Falque,NA,In,2011
Robbie Keane,4350000,Out,2011
Scott Parker,6000000,In,2011
Alan Hutton,4000000,Out,2011
Callum Tapping,NA,Out,2011
Peter Crouch,10000000,Out,2011
Wilson Palacios,8000000,Out,2011
Roman Pavlyuchenko,8000000,Out,2011
Nouha Dicko,NA,Out,2011
Sandro Raniere,6000000,In,2010
Lee Butcher,NA,Out,2010
William Gallas,NA,In,2010
Sam Cox,NA,Out,2010
Rafael Van Der Vaart,8000000,In,2010
Adel Taarabt,1000000,Out,2010
Bongani Khumalo,1500000,In,2010
Dorian Dervite,NA,Out,2010
Steven Pienaar,3000000,In,2010
Kyle Naughton,5000000,In,2009
David Hutton,NA,Out,2009
Kyle Walker,3000000,In,2009
Danny Hutchins,NA,Out,2009
Peter Crouch,9000000,In,2009
Didier Zokora,7750000,Out,2009
Sebastien Bassong,8000000,In,2009
Chris Gunter,1750000,Out,2009
