Stephen Henderson,G,--,--,0,0
Jussi Jaaskelainen,G,18,0,0,0
Adrin,G,20,0,0,0
Raphael Spiegel,G,--,--,0,0
Pablo Armero,D,3,2,0,0
Reece Burke,D,--,--,--,--
Leo Chambers,D,0,0,0,0
James Collins,D,22,2,1,0
Guy Demel,D,30,2,1,0
Callum Driver,D,--,--,--,--
Roger Johnson,D,2,2,0,0
George McCartney,D,20,2,0,0
Joey O'Brien,D,13,4,0,0
Daniel Potts,D,0,0,0,0
Winston Reid,D,18,4,1,0
Jordan Spence,D,--,--,--,--
James Tomkins,D,31,0,0,0
Joe Cole,M,6,14,3,0
Jack Collison,M,6,4,0,0
Mohamed Diame,M,29,6,4,2
Alou Diarra,M,1,2,0,0
Stewart Downing,M,29,3,1,2
Matthias Fanimo,M,--,--,--,--
Matthew Jarvis,M,23,9,2,3
Sebastian Lletget,M,--,--,--,--
George Moncur,M,--,--,--,--
Ravel Morrison,M,12,4,3,2
Mark Noble,M,38,0,3,4
Antonio Nocerino,M,2,8,0,0
Kevin Nolan,M,33,0,7,5
Abdul Razak,M,--,--,--,--
Matthew Taylor,M,16,4,0,0
Marco Borriello,F,0,2,0,0
Andy Carroll,F,12,3,2,4
Carlton Cole,F,9,17,6,0
Jaanai Gordon,F,--,--,--,--
Elliot Lee,F,0,1,0,0
Ricardo Vaz Te,F,3,5,2,0
Danny Whitehead,F,--,--,--,--
