Aaron Cresswell,69,3
Adrian,87,0
Alex Song,40,0
Andy Carroll,74,21
Angelo Ogbonna,22,0
Carl Jenkinson,52,2
Cheikhou Kouyate,59,8
Darren Randolph,3,0
Diafra Sakho,39,14
Dimitri Payet,25,9
Emmanuel Emenike,8,0
Enner Valencia,47,8
James Collins,98,1
James Tomkins,102,2
Kevin Nolan,99,18
Manuel Lanzini,20,6
Mark Noble,125,12
Matthew Jarvis,78,4
Mauro Zarate,22,5
Michail Antonio,20,6
Modibo Maiga,34,4
Nikica Jelavic,13,1
Pedro Obiang,22,0
Reece Oxford,6,0
Sam Byram,4,0
Victor Moses,16,1
Winston Reid,106,3
Carlton Cole,76,9
Diego Poyet,3,0
Elliot Lee,1,0
Guy Demel,69,1
Joey O'Brien,59,2
Jussi Jaaskelainen,57,0
Momo Diame,71,7
Morgan Amalfitano,24,3
Nene,8,0
Ravel Morrison,17,3
Reece Burke,5,0
Ricardo Vaz Te,36,5
Stewart Downing,69,7
Alou Diarra,6,0
Antonio Nocerino,10,0
George McCartney,34,0
Jack Collison,27,2
Joe Cole,31,5
Marco Borriello,2,0
Matthew Taylor,48,1
Mladen Petric,3,0
Pablo Armero,5,0
Razvan Rat,15,0
Roger Johnson,4,0
Daniel Potts,2,0
Emanuel Pogatetz,6,0
Gary O'Neil,24,1
Jordan Spence,4,0
Marouane Chamakh,3,0
Robert Hall,1,0
Yossi Benayoun,6,0
