Name,GoalsFor,GoalsAgainst,Diff,Pts
Chelsea,72,15,+57,95
Arsenal,87,36,+51,83
Manchester,United,58,26,+32,77
Everton,45,46,-1,61
Liverpool,52,41,+11,58
Bolton,49,44,+5,58
Middlesbrough,53,46,+7,55
Manchester,City,47,39,+8,52
Tottenham,47,41,+6,52
Aston,Villa,45,52,-7,47
Charlton,42,58,-16,46
Birmingham,40,46,-6,45
Fulham,52,60,-8,44
Newcastle,47,57,-10,44
Blackburn,32,43,-11,42
Portsmouth,43,59,-16,39
West,Brom,36,61,-25,34
Crystal,Palace,41,62,-21,33
Norwich,42,77,-35,33
Southampton,45,66,-21,32
