Name,GoalsFor,GoalsAgainst,Diff,Pts
Chelsea,73,32,+41,87
Manchester City,83,38,+45,79
Arsenal,71,36,+35,75
Manchester United,62,37,+25,70
Tottenham Hotspur,58,53,+5,64
Liverpool,52,48,+4,62
Southampton,54,33,+21,60
Swansea,46,49,-3,56
Stoke City,48,45,+3,54
Crystal Palace,47,51,-4,48
Everton,48,50,-2,47
West Ham,United,44,47,-3,47
West Bromwich,Albion,38,51,-13,44
Leicester City,46,55,-9,41
Newcastle United,40,63,-23,39
Sunderland,31,53,-22,38
Aston Villa,31,57,-26,38
Hull City,33,51,-18,35
Burnley,28,53,-25,33
Queens Park,Rangers,42,73,-31,30
