Roberto Firmino,29000000,In
Sebastian Coates,2000000,Out
Joe Gomez,3500000,In
Steven Gerrard,Free,Out
Adam Bogdan,Free,In
Glen Johnson,Released,Out
Danny Ings,Tribunal,In
Brad Jones,Released,Out
James Milner,Free,In
Raheem Sterling,35200000,Out
Nathaniel Clyne,12500000,In
Rickie Lambert,3000000,Out
Christian Benteke,32500000,In
Rafael Páez,Undisclosed,Out
Fabio Borini,10000000,In
Iago Aspas,4400000,Out
Marko Grujić,5100000,In

Emre Can,10000000,In
Armin Hodzic,Free,Out
Rickie Lambert,4000000,In
Jakub Sokolík,Free,Out
Adam Lallana,25000000,In
Luis Saurez,65000000,Out
Lazar Marković,20000000,In
Conor Coady,370000,Out
Dejan Lovren,20000000,In
Pepe Reina,2000000,Out
Divock Origi,10000000,In
Martin Kelly,1500000,Out
Alberto Moreno,12000000,In
Jack Robinson,1000000,Out
Mario Balotelli,16000000,In
Daniel Agger,3000000,Out
Lawrence Vigouroux,Signed,In
Krisztián Adorján,Undisclosed,Out
Kevin Stewart,Signed,In
Villyan Bijev,Released,Out
Michael Ngoo,Released,Out
Yalany Baio,Released,Out
Yusuf Mersin,Released,Out
Craig Roddan,Released,Out
Stephen Sama,Released,Out
Morocco Oussama Assaidi,4750000,Out
Suso,1000000,Out

Luis Alberto,6800000,In
Danny Wilson,Free,Out
Iago Aspas,7000000,In
Peter Gulasci,Free,Out
Kolo Toure,Free,In
Andrew Carrol,15500000,Out
Simon Mignolet,10000000,In
Jamie Stephens,Released,Out
Tiago Ilori,7000000,In
Tyrell Belford,Released,Out
Mamadou Sakho,18000000,In
Jamie Carragher,Retired,Out
Jonjo Shelvey,5000000,Out
Stewart Downing,6000000,Out
Jay Spearing,2000000,Out
Dani Pacheco,Free,Out
Adam Morgan,Free,Out

Fabio Borini,10000000,In
Dirk Kuyt,1000000,Out
Joe Allen,15000000,In
Lewis Hatch,Free,Out
Oussama Assaidi,2300000,In
David Amoo,Free,Out
Samed Yesil,1000000,In
Joe Rafferty,Free,Out
Daniel Sturridge,12000000,In
Stephen Darby,Free,Out
Philippe Coutinho,8500000,In
Fabiano Aurelio,Free,Out
Jordan Ibe,500000,In
Maxi Rodríguez,Undisclosed,Out
Toni Brito Silva,Free,Out
Alberto Aquilani,3000000,Out
Craig Bellamy,Free,Out
Kirk Broadfoot,Free,Out
Charlie Adam,4000000,Out
Nathan Ecclestone,Free,Out
Joe Cole,Free,Out
Doni,Free,Out

Jordan Henderson,16000000,In
Paul Konchesky,1500000,Out
Charlie Adam,7000000,In
Chris Mavinga,1000000,Out
Doni,Free,In
Gerardo Bruna,750000,Out
Stewart Downing,20000000,In
Milan Jovanovic,Free,Out
Sanchez Jose Enrique,6300000,In
Daniel Ayala,800000,Out
Sebastian Coates,7000000,In
Emiliano Insua,Free,Out
Craig Bellamy,Free,In
Sotirios Kyrgiakos,Free,Out
Villyan Bijev,Signed,In
Christian Poulsen,1000000,Out
Danny Ward,100000,In
David Ngog,4000000,Out
Raul Meireles,12000000,Out
Tom Ince,Free,Out

Jonjo Shelvey,1700000,In
David Martin,Free,Out
Milan Jovanović,Free,In
Robbie Threlfall,Free,Out
Danny Wilson,2000000,In
Christopher Oldfield,Released,Out
Joe Cole,Free,In
Mikel San Jose,Undisclosed,Out
Fabio Aureilo,Free,In
Yossi Benayoun,5000000,Out
Christian Poulson,4500000,In
Albert Riera,5000000,Out
Brad Jones,2300000,In
Diego Cavalieri,1000000,Out
Raul Meireles,11500000,In
Kristian Nemeth,1500000,Out
Paul Konchesky,Swap,In
Alexander Kacaniklic,Swap,Out
Suso,Signed,In
Lauri Dalla Valle,Swap,Out
Yusuf Mersin,450000,In
Javier Mascherano,17300000,Out
Luis Suarez,23000000,In
Ryan Babel,5800000,Out
Andrew Carroll,35000000,In
Fernando Torres,50000000,Out

Glen Johnson,17500000,In
Sami Hyypiä,Free,Out
