Enes Ünal,2000000,In
Dedryck Boyata,1500000,Out
Raheem Sterling,44000000,In
Micah Richards,NA,Out
Patrick Roberts,11000000,In
Scott Sinclair,2500000,Out
Fabian Delph,8000000,In
James Milner,NA,Out
Nicolás Otamendi,32000000,In
Matija Nastasic,10000000,Out
Kevin De Bruyne,55000000,In
John Guidetti,NA,Out
Anthony Cáceres,100000,In
Jordy Hiwula,150000,Out
Karim Rekik,3500000,Out
Álvaro Negredo,24000000,Out
Luke Brattan,NA,Out
George Evans,NA,Out
Rony Lopes,9000000,Out
,,
Bacary Sagna,NA,In
Costel Pantilimon,NA,Out
Fernando,12000000,In
Joleon Lescott,NA,Out
Willy Caballero,6000000,In
Alex Henshall,NA,Out
Bruno Zuculini,1500000,In
Gareth Barry,2000000,Out
Eliaquim Mangala,40000000,In
Alex Nimely,NA,Out
Wilfried Bony,28000000,In
Jack Rodwell,10000000,Out
Javi Garcia,13000000,Out
Emyr Huws,2500000,Out
Reece Wabara,NA,Out
Thomas Agyiri,NA,Out
Kieran Kennedy,NA,Out
George Swan,NA,Out
,,
Jesus Navas,22900000,In
Ryan McGivern,NA,Out
Fernandinho,30000000,In
Carlos Tevez,12000000,Out
Álvaro Negredo,20600000,In
Kolo Toure,NA,Out
Stevan Jovetic,25800000,In
Wayne Bridge,NA,Out
Zacharias Faour,400000,In
Omar Elabdellaoui,NA,Out
Martín Demichelis,3500000,In
Roque Santa Cruz,NA,Out
Jeremy Helan,400000,Out
Maicon,NA,Out
Denis Suárez,1000000,Out
Abdul Razak,NA,Out
Harry Bunn,NA,Out
,,
Jack Rodwell,15000000,In
Greg Cunningham,NA,Out
Scott Sinclair,8000000,In
Ahmed Benali,NA,Out
Matija Nastasic,12000000,In
Vladimir Weiss,1500000,Out
Maicon,3000000,In
Emmanuel Adebayor,5000000,Out
Richard Wright,NA,In
Adam Johnson,10000000,Out
Javi Garcia,16000000,In
Stefan Savic,3000000,Out
Godsway Donyoh,NA,Out
Nigel De Jong,3500000,Out
Owen Hargreaves,NA,Out
Gai Assulin,NA,Out
Andreas Mancini,NA,Out
Joan Angel Roman,NA,Out
Mario Balotelli,17000000,Out
,,
James Poole,NA,Out
Stefan Savic,6000000,In
Andrew Tutte,NA,Out
Gaël Clichy,7000000,In
Donald McDermott,NA,Out
Sergio Agüero,38000000,In
Scott Kay,NA,Out
Costel Pantilimon,3000000,In
Shaleum Logan,NA,Out
Samir Nasri,22000000,In
Jerome Boateng,15000000,Out
Owen Hargreaves,NA,In
Shay Given,3500000,Out
Luca Scapuzzi,NA,In
Jô,NA,Out
Craig Bellamy,NA,Out
Shaun Wright-Phillips,6500000,Out
Chris Chantler,NA,Out
Kieran Trippier,NA,Out
Nedum Onuoha,2750000,Out
Ben Mee,NA,Out
Jason Gilchrist,NA,Out
,,
Jerome Boateng,11000000,In
Andrew Mitchell,NA,Out
Alex Henshall,250000,In
Benjani Mwaruwari,NA,Out
Yaya Toure,24000000,In
Martin Petrov,NA,Out
David Silva,25000000,In
Sylvinho,NA,Out
Aleksandar Kolarov,17000000,In
Filip Mentel,NA,Out
Mario Balotelli,24500000,In
Valeri Bonjinov,5000000,Out
James Milner,26000000,In
Javio Garrido,2750000,Out
Edin Dzeko,27000000,In
Stephen Ireland,8000000,Out
Adam Clayton,NA,Out
Robinho,22000000,Out
David Ball,NA,Out
Felip Caciedo,1000000,Out
,,
Gareth Barry,12000000,In
Daniel Sturridge,4000000,Out
Roque Santa Cruz,17500000,In
Ched Evans,3000000,Out
Gunnar Nielsen,NA,In
Elano,8000000,Out
Stuart Taylor,Tribunal,In
Gelson Fernandes,6000000,Out
Carlos Tevez,25500000,In
Adrian Cieslewicz,NA,Out
Emmanuel Adebayor,25000000,In
Kasper Schmeichel,NA,Out
Kolo Toure,16000000,In
Ben-Haim,NA,Out
Sylvinho,NA,In
Richard Dunne,5000000,Out
Joleon Lescott,22000000,In
Angelos Tsiaklis,NA,Out
Patrick Viera,NA,In
Eddy Gnahore,NA,Out
Adam Johnson,7000000,In
,,
Jo,18000000,In
Andreas Isaksson,NA,Out
Tal Ben-Haim,5000000,In
Sun Jihai,NA,Out
Vincent Kompany,6700000,In
Geovanni,NA,Out
Shaun Wright Phillips,9000000,In
Georgios Samaras,1000000,Out
Leandro Glauber,Undicslosed,In
Matthew Mills,300000,Out
Pablo Zabaleta,6500000,In
Ashley Grimes,NA,Out
Robinho,32500000,In
Paul Dikov,NA,Out
Wayne Bridge,12000000,In
Rolando Bianchi,5000000,Out
Craig Bellamy,14000000,In
Vedran Corluka,8500000,Out
Nigel De Jong,16000000,In
Bernado Corradi,NA,Out
Shay Given,8000000,In
Emile Mpenza,NA,Out
Sam Williamson,NA,Out
,,
Benjani,3870000,In
Ishmael Miller,900000,Out
Felipe Caicedo,5200000,In
Ousmane Dabo,NA,Out
Valeri Bojinov,5750000,In
Marc Laird,NA,Out
Elano,8000000,In
Nathan D'Laryea,NA,Out
Vedran Corluka,8000000,In
Stephen Jordan,NA,Out
Javier Garrido,1500000,In
Trevor Sinclair,NA,Out
Martin Petrov,4700000,In
Joey Barton,5800000,Out
Geovanni,NA,In
Rolando Bianchi,8800000,Out
,,
Michael Ball,NA,In
Nicky Weaver,NA,Out
Andreas Isaksson,2000000,In
Hatem Trabelsi,NA,In
Sylvain Distin,NA,Out
Bernardo Corradi,NA,In
Ben Thatcher,500000,Out
Dietmar Hamann,400000,In
