Year,Num,Fee,G,D,M,F,Status,Team,Pos,Scored,Conceded,Diff,Pts
2015,8,56800000,1,3,0,4,In,Chelsea,9,55,48,7,48
2015,4,40000000,1,0,3,0,Out,Chelsea,9,55,48,7,48
2014,7,59000000,0,2,3,2,In,Chelsea,1,73,32,41,87
2014,12,104700000,2,4,1,5,Out,Chelsea,1,73,32,41,87
2013,11,79709000,1,2,5,3,In,Chelsea,3,71,27,44,82
2013,7,39600000,1,2,3,1,Out,Chelsea,3,71,27,44,82
2012,7,87000000,0,2,3,2,In,Chelsea,3,75,39,36,75
2012,5,20000000,0,1,1,3,Out,Chelsea,3,75,39,36,75
2011,6,79550000,1,1,2,2,In,Chelsea,6,65,46,19,64
2011,4,20400000,0,2,2,0,Out,Chelsea,6,65,46,19,64
2010,5,94600000,0,2,2,1,In,Chelsea,2,69,33,36,71
2010,7,9500000,0,2,4,1,Out,Chelsea,2,69,33,36,71
2009,6,23500000,1,1,3,1,In,Chelsea,1,103,32,71,86
2009,3,5000000,0,0,1,2,Out,Chelsea,1,103,32,71,86
2008,3,24200000,0,2,1,0,In,Chelsea,3,68,24,44,83
2008,7,35000000,1,2,3,1,Out,Chelsea,3,68,24,44,83
2007,8,40500000,0,4,2,2,In,Chelsea,2,65,26,39,85
2007,4,33000000,0,2,1,1,Out,Chelsea,2,65,26,39,85
2006,5,42000000,1,2,0,2,In,Chelsea,2,64,24,40,83
2006,8,15800000,1,3,3,1,Out,Chelsea,2,64,24,40,83
2005,9,78700000,0,1,7,1,In,Chelsea,1,72,22,50,91
2005,5,19800000,0,2,1,2,Out,Chelsea,1,72,22,50,91
2004,10,59850000,1,4,3,2,In,Chelsea,1,72,15,57,95
2004,10,9700000,2,2,4,2,Out,Chelsea,1,72,15,57,95
2003,17,150000000,2,5,8,3,In,Chelsea,2,67,30,37,79
2003,0,0,0,0,0,0,Out,Chelsea,2,67,30,37,79
2002,2,500000,1,0,0,1,In,Chelsea,4,68,38,30,67
2002,0,0,0,0,0,0,Out,Chelsea,4,68,38,30,67
