Name,Pos,Apps,Goal,YearIn,YearOut,FeeIn,FeeOut
Hector Bellerin,D,54,3,2014,NA,NA,NA
Kieran Gibbs,D,126,2,2008,NA,NA,NA
Francis Coquelin,M,67,0,2011,NA,NA,NA
Alex Iwobi,M,12,2,2015,NA,NA,NA
Jack Wilshere,M,100,6,2008,NA,NA,NA
Wojciech Szczesny,G,132,0,2010,NA,NA,NA
Ainsley Maitland-Niles,M,1,0,2014,NA,NA,NA
Carl Jenkinson,D,37,1,2011,NA,NA,NA
Serge Gnabry,M,10,1,2012,NA,NA,NA
Kim Kallstrom,M,3,0,2013,2014,NA,NA
Ryo Miyaichi,M,1,0,2010,2015,NA,NA
Chuba Akpom,F,1,0,2013,NA,NA,NA
Yaya Sanogo,F,8,0,2013,NA,NA,NA
Ignasi Miquel,D,5,0,2011,2014,NA,1500000
Johan Djourou,D,99,1,2005,2003,NA,0
Marouane Chamakh,F,40,8,2010,2013,NA,NA
Jay Emmanuel-Thomas,M,1,0,2010,2011,NA,1500000
Cesc Fabregas,M,212,20,2003,2011,NA,35000000
William Gallas,D,101,9,2006,2010,NA,NA
Carlos Vela,F,25,1,2008,2012,NA,4200000
Sol Campbell,D,62,2,2001,2006,NA,NA
Fran Merida Perez,M,6,0,2006,2010,NA,NA
Craig Eastmond,D,4,0,2009,2013,NA,NA
Gavin Hoyte,D,1,0,2008,2012,NA,NA
Mark Randall,M,2,0,2007,2011,NA,NA
Kerrea Gilbert,D,1,0,2007,2010,NA,NA
Justin Hoyte,D,33,1,2003,2008,NA,3000000
Ashley Cole,D,78,2,2003,2006,NA,5000000
Sebastian Larsson,M,3,0,2005,2006,NA,1000000
Arturo Lupoli,F,1,0,2003,2006,NA,NA
Quincy Owusu-Abeyie,F,1,0,2004,2005,NA,1500000
Jeremie Aliadiere,F,10,0,2003,2006,NA,2000000
