Year,In,FeeIn,GIn,DIn,MIn,FIn,Out,FeeOut,GOut,DOut,MOut,FOut,Net
2015,3,15000000,1,0,2,0,3,1800000,0,0,2,1,13200000
2014,9,104400000,1,5,1,2,7,16500000,1,3,1,2,87900000
2013,4,42500000,0,0,2,2,8,10000000,1,3,2,2,32500000
2012,5,52300000,0,1,2,2,5,41200000,1,1,1,2,11100000
2011,10,52750000,0,4,3,3,7,70700000,0,2,5,0,-17950000
2010,6,14000000,1,2,2,1,6,6000000,0,4,1,1,8000000
2009,2,10000000,0,2,0,0,2,41000000,0,1,0,1,-31000000
2008,6,15750000,0,3,2,1,4,15800000,0,1,3,0,-50000
2007,5,30800000,0,2,3,0,3,17600000,1,0,1,1,13200000
2006,6,13900000,1,1,3,1,9,26600000,0,3,2,4,-12700000
2005,10,36900000,1,2,4,3,3,30120000,0,0,2,1,6780000
2004,4,4500000,1,0,2,1,1,2900000,0,0,1,0,1600000
2003,10,20500000,1,4,1,4,1,3000000,0,1,0,0,17500000
2002,2,6600000,0,1,1,0,0,5710000,0,0,0,0,890000
