Year,Num,Fee,G,D,M,F,Status,Team,Pos,Scored,Conceded,Diff,Pts
2015,3,15000000,1,0,2,0,In,Arsenal,3,59,34,25,67
2015,3,1800000,0,0,2,1,Out,Arsenal,3,59,34,25,67
2014,9,104400000,1,5,1,2,In,Arsenal,3,71,36,35,75
2014,7,16500000,1,3,1,2,Out,Arsenal,3,71,36,35,75
2013,4,42500000,0,0,2,2,In,Arsenal,4,68,41,27,79
2013,8,10000000,1,3,2,2,Out,Arsenal,4,68,41,27,79
2012,5,52300000,0,1,2,2,In,Arsenal,4,72,37,35,73
2012,5,41200000,1,1,1,2,Out,Arsenal,4,72,37,35,73
2011,10,52750000,0,4,3,3,In,Arsenal,3,74,49,25,70
2011,7,70700000,0,2,5,0,Out,Arsenal,3,74,49,25,70
2010,6,14000000,1,2,2,1,In,Arsenal,4,72,43,29,68
2010,6,6000000,0,4,1,1,Out,Arsenal,4,72,43,29,68
2009,2,10000000,0,2,0,0,In,Arsenal,3,83,41,42,75
2009,2,41000000,0,1,0,1,Out,Arsenal,3,83,41,42,75
2008,6,15750000,0,3,2,1,In,Arsenal,4,68,37,31,72
2008,4,15800000,0,1,3,0,Out,Arsenal,4,68,37,31,72
2007,5,30800000,0,2,3,0,In,Arsenal,3,74,31,43,83
2007,3,17600000,1,0,1,1,Out,Arsenal,3,74,31,43,83
2006,6,13900000,1,1,3,1,In,Arsenal,4,63,35,28,68
2006,9,26600000,0,3,2,4,Out,Arsenal,4,63,35,28,68
2005,10,36900000,1,2,4,3,In,Arsenal,4,68,31,37,67
2005,3,30120000,0,0,2,1,Out,Arsenal,4,68,31,37,67
2004,4,4500000,1,0,2,1,In,Arsenal,2,87,36,51,83
2004,1,2900000,0,0,1,0,Out,Arsenal,2,87,36,51,83
2003,10,20500000,1,4,1,4,In,Arsenal,1,73,26,47,90
2003,1,3000000,0,1,0,0,Out,Arsenal,1,73,26,47,90
2002,2,6600000,0,1,1,0,In,Arsenal,2,85,42,43,78
2002,4,5710000,1,2,1,0,Out,Arsenal,2,85,42,43,78
