Name,Pos,Apps,Goals,YearIn,YearOut,FeeIn,FeeOut
Asmir Begovic,G,15,0,2015,NA,8000000,NA
Nathan,M,0,0,2015,NA,4500000,NA
Kenedy,M,9,1,2015,NA,6300000,NA
Papy Djilobodji,D,0,0,2015,NA,4000000,NA
Michael Hector,D,0,0,2015,NA,5400000,NA
Thibaut Courtois,G,53,0,2011,NA,6000000,NA
Cesar Azpilicueta,D,118,2,2012,NA,7000000,NA
Gary Cahill,D,140,8,2011,NA,7000000,NA
Branislav Ivanovic,D,217,21,2007,NA,9000000,NA
Matt Miazga,D,2,0,2015,NA,3500000,NA
Baba Rahman,D,12,0,2015,NA,17600000,NA
Kurt Zouma,D,38,1,2013,NA,12500000,NA
Willian,M,92,11,2013,NA,30000000,NA
Eden Hazard,M,134,39,2012,NA,32000000,NA
Nemanja Matic,M,82,2,2013,2011,21000000,NA
John Obi Mikel,M,221,1,2005,NA,16000000,NA
Oscar,M,120,21,2012,NA,25000000,NA
Kenedy,F,13,1,2015,NA,6300000,NA
Pedro,F,26,7,2015,NA,21400000,NA
Diego Costa,F,52,31,2014,NA,32000000,NA
Petr Cech,G,299,0,2003,2015,7000000,10000000
Filipe Luis,D,15,0,2014,2015,15800000,11100000
Juan Cuadrado,M,12,0,2014,NA,27000000,NA
Ramires,M,148,15,2010,2015,18300000,25000000
Isaiah Brown,F,1,0,2013,NA,209000,NA
Didier Drogba,F,222,75,2004,2012,24000000,NA
Ashley Cole,D,202,3,2006,2014,5000000,NA
David Luiz,D,81,6,2010,2014,21300000,40000000
Frank Lampard,M,318,114,2000,2014,11000000,NA
Mohamed Salah,M,10,2,2013,NA,11000000,NA
Marco van Ginkel,M,2,0,2013,NA,8000000,NA
Demba Ba,F,53,20,2012,2014,7500000,4700000
Andre Schurrle,F,30,8,2013,2014,18000000,22000000
Fernando Torres,F,134,29,2010,2014,50000000,NA
Paulo Ferreira,D,128,0,2003,2013,13200000,NA
Yossi Benayoun,M,19,1,2010,2013,5000000,NA
Marko Marin,M,6,1,2012,NA,6500000,NA
Oriol Romeu,M,22,0,2011,2015,4350000,5000000
Juan Mata,F,69,18,2011,2013,23500000,37100000
Victor Moses,F,24,1,2012,NA,9000000,NA
Jose Bosingwa,D,81,3,2008,2012,16200000,NA
Michael Essien,M,149,14,2005,2013,24400000,NA
Florent Malouda,M,116,23,2007,2013,13500000,NA
Raul Meireles,M,30,2,2011,2012,12000000,8000000
Salomon Kalou,F,133,31,2005,2012,8000000,NA
Romelu Lukaku,F,8,0,2011,2014,20000000,28000000
Daniel Sturridge,F,30,11,2009,2012,4000000,12000000
Kevin De Bruyne,M,3,0,2011,2013,6700000,17000000
Yury Zhirkov,M,29,0,2009,2011,18000000,13200000
Nicolas Anelka,F,101,36,2007,NA,15000000,NA
Ricardo Carvalho,D,114,1,2004,2010,19850000,7000000
Joe Cole,M,157,26,2003,2010,6600000,NA
Deco,M,24,3,2008,2010,8000000,NA
Scott Sinclair,M,4,0,2005,2010,300000,500000
Khalid Boulahrouz,D,13,0,2006,2008,8500000,4000000
Franco Di Santo,F,8,0,2007,2010,3000000,2000000
Wayne Bridge,D,81,1,2003,2008,7000000,12000000
Claude Makelele,M,143,2,2003,2008,16600000,NA
Shaun Wright-Phillips,M,81,4,2005,NA,21000000,9000000
Andriy Shevchenko,F,47,9,2006,2009,30000000,NA
Lassana Diarra,M,13,0,2005,2007,1000000,4000000
Mateza Kezman,F,25,4,2005,2006,5000000,5300000
Arjen Robben,F,67,15,2003,2007,12000000,25000000
Asier Del Horno,D,25,1,2005,2006,8000000,4800000
William Gallas,D,90,7,2000,2006,6200000,NA
Geremi,M,53,3,2003,2006,7000000,NA
Hernan Crespo,F,49,20,2003,2008,16800000,NA
Jiri Jarosik,D,14,0,2004,2005,3000000,NA
Glen Johnson,D,35,3,2003,2007,6000000,4000000
Tiago,M,34,4,2004,2005,8000000,6500000
Damien Duff,M,52,11,2003,2006,17000000,5000000
Filipe Oliveira,F,2,0,2002,2006,500000,NA
Eidur Gudjohnsen,F,62,18,1999,2005,5000000,8000000
Celestine Babayaro,D,5,1,1996,2004,2250000,1000000
Marcel Desailly,D,15,0,1998,2004,4600000,NA
Jesper Gronkjaer,M,30,2,2000,2004,7800000,2200000
Scott Parker,M,31,3,2003,2004,10000000,6500000
Juan Sebastien Veron,M,7,1,2003,2004,15000000,NA
Mario Stanic,M,2,0,1999,2004,5600000,NA
Adrian Mutu,F,25,6,2003,2004,15800000,NA
