Jake Clark-Salter,D,1,0,2015,NA,NA,NA
John Terry,D,362,33,2003,NA,NA,NA
Cesc Fbregas,M,67,7,2014,NA,NA,NA
Thorgan Hazard,M,0,0,2012,2014,NA,6000000
Ruben Loftus-Cheek,M,14,1,2014,NA,NA,NA
Bertrand Traore,M,7,2,2013,NA,NA,NA
Alexandre Pato,F,2,1,2015,NA,NA,NA
Radamel Falcao,F,10,1,2015,NA,NA,NA
Loic Remy,F,34,8,2014,NA,NA,NA
Andreas Christensen,D,1,0,2014,NA,NA,NA
Mark Schwarzer,G,4,0,2013,2014,NA,NA
Nathan Ake,D,4,0,2012,NA,NA,NA
Tomas Kalas,D,2,0,2013,NA,NA,NA
John Swift,M,1,0,2013,NA,NA,NA
Samuel Eto'o,F,21,9,2013,2014,NA,NA
Ross Turnbull,G,5,0,2009,2013,NA,NA
Ryan Bertrand,D,27,0,2009,2014,NA,10000000
Henrique Hilario,G,17,0,2006,2014,NA,NA
Sam Hutchinson,D,3,0,2006,2014,NA,NA
Jeffrey Bruma,D,2,0,2010,2013,NA,2500000
Alex,D,67,6,2007,2011,NA,4200000
Joshua McEachran,M,9,0,2009,2015,NA,NA
Juliano Belletti,D,43,5,2007,2010,NA,NA
Michael Mancienne,D,4,0,2008,2011,NA,3000000
Michael Ballack,M,73,12,2005,2010,NA,NA
Carlo Cudicini,G,50,0,2000,2008,NA,NA
Tal Ben Haim,D,13,0,2007,2008,NA,5000000
Steve Sidwell,M,15,0,2006,2008,NA,5000000
Claudio Pizarro,F,21,2,2006,2009,NA,5000000
Robert Huth,D,39,0,2003,2006,NA,6000000
Jimmy Smith,M,1,0,2005,2009,NA,NA
Lenny Pidgeley,G,1,0,2004,2006,NA,NA
Nuno Morais,D,2,0,2004,2007,NA,NA
Steven Watt,D,1,0,2004,2005,NA,NA
Anthony Grant,M,1,0,2004,2008,NA,NA
Alexey Smertin,M,16,0,2004,2006,NA,NA
Marco Ambrosio,G,8,0,2002,2004,NA,NA
Neil Sullivan,G,4,0,2003,2004,NA,NA
Alexis Nicolas,M,2,0,2003,2004,NA,NA
Jimmy Floyd Hasselbaink,F,29,13,2003,2004,NA,NA
