Name,Pos,Apps,Goals,YearIn,YearOut,FeeIn,FeeOut
Asmir Begovic,G,15,0,2015,NA,8000000,NA
Nathan,M,0,0,2015,NA,4500000,NA
Kenedy,M,9,1,2015,NA,6300000,NA
Papy Djilobodji,D,0,0,2015,NA,4000000,NA
Michael Hector,D,0,0,2015,NA,5400000,NA
Thibaut Courtois,G,53,0,2011,NA,6000000,NA
Cesar Azpilicueta,D,118,2,2012,NA,7000000,NA
Gary Cahill,D,140,8,2011,NA,7000000,NA
Jake Clark-Salter,D,1,0,2015,NA,NA,NA
Branislav Ivanovic,D,217,21,2007,NA,9000000,NA
Matt Miazga,D,2,0,2015,NA,3500000,NA
Baba Rahman,D,12,0,2015,NA,17600000,NA
John Terry,D,362,33,2003,NA,NA,NA
Kurt Zouma,D,38,1,2013,NA,12500000,NA
Willian,M,92,11,2013,NA,30000000,NA
Cesc Fbregas,M,67,7,2014,NA,NA,NA
Eden Hazard,M,134,39,2012,NA,32000000,NA
Thorgan Hazard,M,0,0,2012,2014,NA,6000000
Ruben Loftus-Cheek,M,14,1,2014,NA,NA,NA
Nemanja Matic,M,82,2,2013,2011,21000000,NA
John Obi Mikel,M,221,1,2005,NA,16000000,NA
Bertrand Traore,M,7,2,2013,NA,NA,NA
Oscar,M,120,21,2012,NA,25000000,NA
Alexandre Pato,F,2,1,2015,NA,NA,NA
Radamel Falcao,F,10,1,2015,NA,NA,NA
Kenedy,F,13,1,2015,NA,6300000,NA
Pedro,F,26,7,2015,NA,21400000,NA
Loic Remy,F,34,8,2014,NA,NA,NA
Diego Costa,F,52,31,2014,NA,32000000,NA
Petr Cech,G,299,0,2003,2015,7000000,10000000
Andreas Christensen,D,1,0,2014,NA,NA,NA
Filipe Luis,D,15,0,2014,2015,15800000,11100000
Juan Cuadrado,M,12,0,2014,NA,27000000,NA
Ramires,M,148,15,2010,2015,18300000,25000000
Isaiah Brown,F,1,0,2013,NA,209000,NA
Didier Drogba,F,222,75,2004,2012,24000000,NA
Mark Schwarzer,G,4,0,2013,2014,NA,NA
Nathan Ake,D,4,0,2012,NA,NA,NA
Ashley Cole,D,202,3,2006,2014,5000000,NA
Tomas Kalas,D,2,0,2013,NA,NA,NA
David Luiz,D,81,6,2010,2014,21300000,40000000
Frank Lampard,M,318,114,2000,2014,11000000,NA
Mohamed Salah,M,10,2,2013,NA,11000000,NA
John Swift,M,1,0,2013,NA,NA,NA
Marco van Ginkel,M,2,0,2013,NA,8000000,NA
Demba Ba,F,53,20,2012,2014,7500000,4700000
Samuel Eto'o,F,21,9,2013,2014,NA,NA
Andre Schurrle,F,30,8,2013,2014,18000000,22000000
Fernando Torres,F,134,29,2010,2014,50000000,NA
Ross Turnbull,G,5,0,2009,2013,NA,NA
Ryan Bertrand,D,27,0,2009,2014,NA,10000000
Paulo Ferreira,D,128,0,2003,2013,13200000,NA
Yossi Benayoun,M,19,1,2010,2013,5000000,NA
Marko Marin,M,6,1,2012,NA,6500000,NA
Oriol Romeu,M,22,0,2011,2015,4350000,5000000
Juan Mata,F,69,18,2011,2013,23500000,37100000
Victor Moses,F,24,1,2012,NA,9000000,NA
Henrique Hilario,G,17,0,2006,2014,NA,NA
Jose Bosingwa,D,81,3,2008,2012,16200000,NA
Sam Hutchinson,D,3,0,2006,2014,NA,NA
Michael Essien,M,149,14,2005,2013,24400000,NA
Florent Malouda,M,116,23,2007,2013,13500000,NA
Raul Meireles,M,30,2,2011,2012,12000000,8000000
Salomon Kalou,F,133,31,2005,2012,8000000,NA
Romelu Lukaku,F,8,0,2011,2014,20000000,28000000
Daniel Sturridge,F,30,11,2009,2012,4000000,12000000
Jeffrey Bruma,D,2,0,2010,2013,NA,2500000
Kevin De Bruyne,M,3,0,2011,2013,6700000,17000000
Alex,D,67,6,2007,2011,NA,4200000
Joshua McEachran,M,9,0,2009,2015,NA,NA
Yury Zhirkov,M,29,0,2009,2011,18000000,13200000
Nicolas Anelka,F,101,36,2007,NA,15000000,NA
Juliano Belletti,D,43,5,2007,2010,NA,NA
Ricardo Carvalho,D,114,1,2004,2010,19850000,7000000
Michael Mancienne,D,4,0,2008,2011,NA,3000000
Michael Ballack,M,73,12,2005,2010,NA,NA
Joe Cole,M,157,26,2003,2010,6600000,NA
Deco,M,24,3,2008,2010,8000000,NA
Scott Sinclair,M,4,0,2005,2010,300000,500000
Khalid Boulahrouz,D,13,0,2006,2008,8500000,4000000
Franco Di Santo,F,8,0,2007,2010,3000000,2000000
Carlo Cudicini,G,50,0,2000,2008,NA,NA
Tal Ben Haim,D,13,0,2007,2008,NA,5000000
Wayne Bridge,D,81,1,2003,2008,7000000,12000000
Claude Makelele,M,143,2,2003,2008,16600000,NA
Steve Sidwell,M,15,0,2006,2008,NA,5000000
Shaun Wright-Phillips,M,81,4,2005,NA,21000000,9000000
Claudio Pizarro,F,21,2,2006,2009,NA,5000000
Andriy Shevchenko,F,47,9,2006,2009,30000000,NA
Lassana Diarra,M,13,0,2005,2007,1000000,4000000
Mateza Kezman,F,25,4,2005,2006,5000000,5300000
Arjen Robben,F,67,15,2003,2007,12000000,25000000
Asier Del Horno,D,25,1,2005,2006,8000000,4800000
William Gallas,D,90,7,2000,2006,6200000,NA
