Year,Month,Type,Desc
2003,Jul,Ownership,Roman Abramovich becomes majority shareholder
2004,Jun,Manager,Claudio Ranieri sacked; Jose Mourinho appointed
2005,Feb,Trophy,League Cup
2007,Feb,Trophy,League Cup
2007,May,Trophy,FA Cup
2007,Sep,Manager,Jose Mourinho left; Avram Grant appointed
2008,May,Other,Runners up UEFA Champions League (First time in club's history)
2008,Jul,Manager,Avram Grant sacked; Luiz Felipe Scolari appointed
2009,Feb,Manager,Luiz Felipe Scolari sacked; Guus Hiddink appointed (interim manager)
2009,May,Trophy,FA Cup
2009,Jul,Manager,Carlo Ancelotti appointed
2010,May,Trophy,FA Cup
2011,Jun,Manager,Carlo Ancelotti sacked; Andre Villas Boas appointed
2012,Mar,Manager,Andre Villas Boas sacked; Roberto Di Matteo appointed (caretaker manager)
2012,May,Trophy,FA Cup
2012,May,Trophy,UEFA Champions League
2012,Jul,Manager,Roberto Di Matteo appointed
2012,Nov,Manager,Roberto Di Matteo sacked; Rafael Benitez appointed (interim manager)
2013,May,Trophy,UEFA Europa League
2013,Jun,Manager,Jose Mourinho appoined
2015,Mar,Trophy,League Cup
2015,Dec,Manager,Jose Mourinho sacked; Guus Hiddink appointed (interim manager)
2016,Jul,Manager,Antonio Conte appointed
