Year,In,FeeIn,GIn,DIn,MIn,FIn,Out,FeeOut,GOut,DOut,MOut,FOut,Net
2015,8,56800000,1,3,0,4,4,40000000,1,0,3,0,16800000
2014,7,59000000,0,2,3,2,12,104700000,2,4,1,5,-45700000
2013,11,79709000,1,2,5,3,7,39600000,1,2,3,1,40109000
2012,7,87000000,0,2,3,2,5,20000000,0,1,1,3,67000000
2011,6,79550000,1,1,2,2,4,20400000,0,2,2,0,59150000
2010,5,94600000,0,2,2,1,7,9500000,0,2,4,1,85100000
2009,6,23500000,1,1,3,1,3,5000000,0,0,1,2,18500000
2008,3,24200000,0,2,1,0,7,35000000,1,2,3,1,-10800000
2007,8,40500000,0,4,2,2,4,33000000,0,2,1,1,7500000
2006,5,42000000,1,2,0,2,8,15800000,1,3,3,1,26200000
2005,9,78700000,0,1,7,1,5,19800000,0,2,1,2,58900000
2004,10,59850000,1,4,3,2,10,9700000,2,2,4,2,50150000
2003,17,150000000,2,5,8,3,4,0,0,0,0,0,0,150000000
2002,2,500000,1,0,0,1,0,0,0,0,0,0,500000
