Name,Pos,Apps,Goal,YearIn,YearOut,FeeIn,FeeOut
Adam Bogdan,G,1,0,2015,NA,NA,NA
Christian Benteke,F,25,7,2015,NA,32500000,NA
Connor Randall,D,2,0,2015,NA,NA,NA
Danny Ings,F,5,2,2015,NA,NA,NA
James Milner,M,27,5,2015,NA,NA,NA
Jordan Rossiter,M,1,0,2015,NA,NA,NA
Joe Gomez,D,5,0,2015,NA,3500000,NA
Nathaniel Clyne,D,31,1,2015,NA,12500000,NA
Roberto Firmino,F,29,9,2015,NA,29000000,NA
Sheyi Ojo,M,4,0,2015,NA,NA,NA
Steven Caulker,D,6,0,2015,NA,NA,NA
Marko Grujic,M,0,0,2015,NA,5100000,NA
Adam Lallana,M,56,9,2014,NA,25000000,NA
Alberto Moreno,D,58,3,2014,NA,12000000,NA
Dejan Lovren,D,48,0,2014,NA,20000000,NA
Divock Origi,F,16,5,2014,NA,10000000,NA
Emre Can,M,56,2,2014,NA,10000000,NA
Javier Manquillo,D,10,0,2014,2015,NA,NA
Kevin Stewart,D,4,0,2014,NA,NA,NA
Lazar Markovic,F,19,2,2014,NA,20000000,NA
Mario Balotelli,F,16,1,2014,NA,16000000,NA
Rickie Lambert,F,25,2,2014,2015,4000000,3000000
Aly Cissokho,D,15,0,2013,2014,NA,NA
Brad Smith,D,3,0,2013,NA,NA,NA
Iago Aspas,F,14,0,2013,2015,7000000,4400000
Joao Carlos Teixeira,M,2,0,2013,NA,NA,NA
Kolo Toure,D,45,1,2013,NA,NA,NA
Luis Alberto,M,9,0,2013,NA,6800000,NA
Mamadou Sakho,D,56,2,2013,NA,18000000,NA
Simon Mignolet,G,106,0,2013,NA,10000000,NA
Tiago Ilori,D,0,0,2013,NA,7000000,NA
Andre Wisdom,D,14,0,2012,NA,NA,NA
Conor Coady,D,1,0,2012,2014,NA,370000
Daniel Sturridge,F,74,44,2012,NA,12000000,NA
Fabio Borini,F,25,2,2012,2015,10000000,10000000
Joe Allen,M,88,3,2012,NA,15000000,NA
