Abdisalam Ibrahim,M,1,0,2009,2014,NA,NA
Bacary Sagna,D,35,0,2014,NA,NA,NA
Bernardo Corradi,F,25,3,2006,2008,NA,NA
Bersant Celina,M,1,0,2015,NA,NA,NA
Danny Mills,D,51,1,2004,2009,NA,NA
David Pizarro,M,5,0,2011,2012,NA,NA
Patrick Roberts,F,1,0,2015,11000000,NA
Frank Lampard,M,32,6,2014,2015,NA,NA
Gunnar Nielsen,G,1,0,2009,2012,NA,NA
Jonathan Macken,F,15,1,2003,2004,NA,NA
Jose Pozo,M,3,0,2014,2015,NA,NA
Kelechi Iheanacho,F,23,5,2015,NA,NA,NA
Kelvin Etuhu,M,4,0,2008,2010,NA,NA
Kevin Stuhr-Ellegaard,G,4,0,2003,2005,NA,NA
Kizito Musampa,M,14,3,2005,2006,NA,NA
Rony Lopes,M,0,0,2013,2015,NA,9000000
Manu Garcia,M,1,0,2015,NA,NA,NA
Marton Fulop,G,3,0,2009,2010,NA,NA
Michael Ball,D,40,0,2007,2009,NA,NA
Michael Johnson,M,37,2,2006,2012,NA,NA
Nery Castillo,F,7,0,2008,2009,NA,NA
Patrick Vieira,M,28,3,2009,2011,NA,NA
Steve McManaman,M,22,0,2003,2005,NA,NA
Dedryck Boyata,D,13,0,2009,2015,NA,1500000
Micah Richards,D,179,6,2005,2015,NA,NA
Alex Nimely,F,1,0,2009,2014,NA,NA
Reece Wabara,D,1,0,2010,2014,NA,NA
Abdul Razak,M,4,0,2010,2013,NA,NA
Ryan McGivern,D,1,0,2010,2013,NA,NA
Greg Cunningham,D,2,0,2009,2012,NA,NA
Owen Hargreaves,M,1,0,2011,2012,NA,NA
Stuart Taylor,G,0,0,2009,2012,NA,NA
Vladimir Weiss,M,1,0,2008,2012,NA,1500000
Nedum Onuoha,D,95,3,2004,2011,NA,2750000
Shaleum Logan,D,1,0,2008,2011,NA,NA
Stephen Ireland,M,138,16,2005,2010,NA,8000000
Sylvinho,D,10,0,2009,2010,NA,NA
Ched Evans,F,16,1,2008,2009,NA,3000000
Daniel Sturridge,F,5,1,2006,2009,NA,4000000
Gelson Fernandes,M,26,2,2007,2009,NA,6000000
Kasper Schmeichel,G,1,0,2008,2009,NA,NA
Geovanni,M,19,3,2007,2008,NA,NA
Emile Mpenza,F,25,5,2006,2008,NA,NA
Sam Williamson,D,1,0,2007,2008,NA,NA
Ishmael Miller,F,17,0,2005,2007,NA,900000
Joey Barton,M,90,8,2003,2007,NA,5800000
Ousmane Dabo,M,13,0,2005,2007,NA,NA
Stephen Jordan,M,20,0,2003,2007,NA,NA
Andy Cole,F,22,9,2005,2006,NA,500000
Lee Croft,M,28,1,2004,2006,NA,600000
Willo Flood,D,14,1,2004,2006,NA,NA
Shaun Wright-Phillips,M,113,17,2003,2005,NA,21000000
