Year,Num,Fee,G,D,M,F,Status,Team,Pos,Scored,Conceded,Diff,Pts
2015,10,152000000,0,1,4,5,In,Manchester City,Pos,GF,GA,GD,Pts
2015,11,58000000,0,3,5,3,Out,Manchester City,Pos,GF,GA,GD,Pts
2014,7,86000000,1,2,3,1,In,Manchester City,Pos,GF,GA,GD,Pts
2014,8,25000000,1,2,4,1,Out,Manchester City,Pos,GF,GA,GD,Pts
2013,6,102800000,0,1,3,2,In,Manchester City,9,47,54,7,51
2013,7,12000000,0,4,1,2,Out,Manchester City,9,47,54,7,51
2012,5,54000000,0,2,3,0,In,Manchester City,9,47,54,7,51
2012,12,40000000,2,2,6,2,Out,Manchester City,9,47,54,7,51
2011,7,76000000,1,2,3,1,In,Manchester City,16,55,54,1,41
2011,9,28750000,1,3,2,3,Out,Manchester City,16,55,54,1,41
2010,10,154500000,0,4,4,2,In,Manchester City,16,55,54,1,41
2010,9,37750000,1,2,3,3,Out,Manchester City,16,55,54,1,41
2009,16,125000000,3,5,4,4,In,Manchester City,8,47,39,8,52
2009,12,26000000,1,4,3,4,Out,Manchester City,8,47,39,8,52
2008,16,127700000,2,5,4,5,In,Manchester City,8,47,39,8,52
2008,10,9800000,1,4,1,4,Out,Manchester City,8,47,39,8,52
2007,12,45820000,0,4,4,4,In,Manchester City,15,43,48,5,43
2007,6,6700000,0,0,5,1,Out,Manchester City,15,43,48,5,43
2006,6,2400000,1,0,2,3,In,Manchester City,15,43,48,5,43
2006,9,4800000,2,3,3,1,Out,Manchester City,15,43,48,5,43
2005,10,9750000,1,2,3,4,In,Manchester City,14,29,44,15,42
2005,6,21000000,1,1,3,1,Out,Manchester City,14,29,44,15,42
2004,4,0,0,3,1,0,In,Manchester City,14,29,44,15,42
2004,3,7500000,0,0,0,3,Out,Manchester City,14,29,44,15,42
2003,12,9800000,2,1,8,1,In,Manchester City,9,45,53,8,55
2003,0,0,0,0,0,0,Out,Manchester City,9,45,53,8,55
2002,2,9500000,0,1,0,1,In,Manchester City,9,45,53,8,55
2002,0,0,0,0,0,0,Out,Manchester City,9,45,53,8,55
