Adnan Januzaj,M,49,5,2013,NA,NA,NA
Andreas Pereira,M,5,0,2014,NA,NA,NA
Cameron Borthwick-Jackson,D,8,0,2015,NA,NA,NA
Donald Love,D,1,0,2015,NA,NA,NA
Gary Neville,D,133,2,2003,2011,NA,NA
Gerard Pique,D,12,0,2005,2007,NA,6000000
James Weir,M,1,0,2015,NA,NA,NA
James Wilson,F,14,3,2013,NA,NA,NA
Jesse Lingard,M,21,4,2015,NA,NA,NA
Marcus Rashford,F,8,4,2015,NA,NA,NA
Paddy McNair,D,24,0,2014,NA,NA,NA
Phil Bardsley,D,8,0,2005,2007,NA,2000000
Radamel Falcao,F,26,4,2014,2015,NA,NA
Timothy Fosu-Mensah,D,7,0,2015,NA,NA,NA
Tom Cleverley,M,54,3,2011,NA,NA,NA
William Keane,F,2,0,2011,NA,NA,NA
Ben Amos,G,1,0,2011,2015,NA,0
Jonny Evans,D,131,4,2008,2015,NA,8000000
Danny Welbeck,F,90,20,2008,2014,NA,16000000
Darren Fletcher,M,211,18,2003,2014,NA,0
Federico Macheda,F,16,4,2008,2014,NA,0
Ryan Giggs,M,290,35,2003,2014,NA,0
Tom Lawrence,F,1,0,2013,2014,NA,1000000
Ezekiel Fryers,D,2,0,2011,2012,NA,0
Fraizer Campbell,F,2,0,2007,2009,NA,3500000
Corry Evans,M,0,0,2009,2011,NA,500000
Darron Gibson,M,30,3,2008,2011,NA,2000000
John O'Shea,D,215,10,2003,2011,NA,4500000
Wes Brown,D,149,3,2003,2011,NA,1200000
Danny Simpson,D,3,0,2007,2009,NA,500000
Chris Eagles,M,6,1,2006,2008,NA,1250000
Kieran Lee,D,1,0,2006,2007,NA,0
Ruud van Nistelrooy,F,48,26,2003,2006,NA,10300000
Phil Neville,D,49,0,2003,2005,NA,3500000
Nicky Butt,M,21,1,2003,2004,NA,2500000
