Year,Num,Fee,G,D,M,F,Status,Team,Pos,Scored,Conceded,Diff,Pts
2015,12,103200000,1,4,4,3,In,Manchester United,5,43,31,12,60
2015,9,75250000,2,2,2,3,Out,Manchester United,5,43,31,12,60
2014,10,147900000,1,5,3,1,In,Manchester United,4,62,37,25,70
2014,14,39300000,0,4,4,6,Out,Manchester United,4,62,37,25,70
2013,5,64600000,0,0,3,2,In,Manchester United,7,64,43,21,64
2013,2,0,0,1,1,0,Out,Manchester United,7,64,43,21,64
2012,6,62900000,0,1,1,4,In,Manchester United,1,86,43,43,89
2012,7,7500000,1,2,2,2,Out,Manchester United,1,86,43,43,89
2011,8,52900000,2,2,3,1,In,Manchester United,2,89,33,56,89
2011,9,12700000,1,3,4,1,Out,Manchester United,2,89,33,56,89
2010,4,26900000,1,1,0,2,In,Manchester United,1,78,37,41,80
2010,2,13000000,1,0,1,0,Out,Manchester United,1,78,37,41,80
2009,6,21000000,0,1,3,2,In,Manchester United,2,86,28,58,85
2009,4,84000000,0,1,1,2,Out,Manchester United,2,86,28,58,85
2008,8,38250000,0,3,2,3,In,Manchester United,1,68,24,44,90
2008,4,2000000,0,1,1,2,Out,Manchester United,1,68,24,44,90
2007,8,59250000,1,2,3,2,In,Manchester United,1,80,22,58,87
2007,8,34200000,0,4,1,3,Out,Manchester United,1,80,22,58,87
2006,3,18600000,0,1,2,0,In,Manchester United,1,83,27,56,89
2006,4,13300000,1,0,2,1,Out,Manchester United,1,83,27,56,89
2005,7,19500000,2,4,1,0,In,Manchester United,2,72,34,38,83
2005,4,6000000,0,1,2,1,Out,Manchester United,2,72,34,38,83
2004,2,27200000,0,0,0,2,In,Manchester United,3,58,26,32,77
2004,4,5850000,1,0,2,1,Out,Manchester United,3,58,26,32,77
2003,18,53150000,1,5,7,5,In,Manchester United,3,64,35,29,75
2003,3,40000000,1,0,2,0,Out,Manchester United,3,64,35,29,75
2002,2,27550000,0,1,1,0,In,Manchester United,1,74,34,40,83
2002,3,2000000,0,1,0,1,Out,Manchester United,1,74,34,40,83
