Year,Pos,Name,GoalsFor,GoalsAgainst,Diff,Pts
2014,1,Chelsea,73,32,+41,87
2014,2,Manchester City,83,38,+45,79
2014,3,Arsenal,71,36,+35,75
2014,4,Manchester United,62,37,+25,70
2014,5,Tottenham,58,53,+5,64
2014,6,Liverpool,52,48,+4,62
2014,7,Southampton,54,33,+21,60
2014,8,Swansea,46,49,-3,56
2014,9,Stoke,48,45,+3,54
2014,10,Crystal Palace,47,51,-4,48
2014,11,Everton,48,50,-2,47
2014,12,West Ham,44,47,-3,47
2014,13,West Brom,38,51,-13,44
2014,14,Leicester City,46,55,-9,41
2014,15,Newcastle,40,63,-23,39
2014,16,Sunderland,31,53,-22,38
2014,17,Aston Villa,31,57,-26,38
2014,18,Hull City,33,51,-18,35
2014,19,Burnley,28,53,-25,33
2014,20,QPR,42,73,-31,30
