Year,Pos,Team,GoalsFor,GoalsAgainst,Diff,Pts
2015,1,Leicester City,64,34,30,77
2015,2,Tottenham,67,28,39,70
2015,3,Arsenal,59,34,25,67
2015,4,Manchester City,68,38,30,64
2015,5,Manchester United,43,31,12,60
2015,6,West Ham,60,43,17,59
2015,7,Southampton,53,39,14,57
2015,8,Liverpool,59,48,11,55
2015,9,Chelsea,55,48,7,48
2015,10,Stoke City,38,52,-14,48
2015,11,Everton,55,49,6,44
2015,12,Watford,36,42,-6,44
2015,13,Swansea City,37,50,-13,43
2015,14,West Brom,32,46,-14,41
2015,15,Bournemouth,43,63,-20,41
2015,16,Crystal Palace,36,46,-10,39
2015,17,Newcastle,39,64,-25,33
2015,18,Sunderland,40,58,-18,32
2015,19,Norwich City,35,61,-26,31
2015,20,Aston Villa,27,72,-45,16
