Year,Team,Pos,GF,GA,GD,Pts
2003,Manchester United,1,74,34,40,83
2004,Manchester United,3,64,35,29,75
2005,Manchester United,3,58,26,32,77
2006,Manchester United,2,72,34,38,83
2007,Manchester United,1,83,27,56,89
2008,Manchester United,1,80,22,58,87
2009,Manchester United,1,68,24,44,90
2010,Manchester United,2,86,28,58,85
2011,Manchester United,1,78,37,41,80
2012,Manchester United,2,89,33,56,89
2013,Manchester United,1,86,43,43,89
2014,Manchester United,7,64,43,21,64
2015,Manchester United,4,62,37,25,70
2016,Manchester United,5,43,31,12,60
