Year,Month,Type,Desc
2003,Mar,Trophy,League Cup
2004,Jun,Manager,Gerard Houllier resigns; Rafael Benitez appointed
2005,May,Trophy,Champions League
2006,May,Trophy,FA Cup
2007,Feb,Ownership,George Gillett and Tom Hicks become majority shareholders
2010,Jul,Manager, Rafael Benitez sacked; Roy Hodgson appointed
2010,Oct,Ownership,Fenway Sports Group become majority shareholders
2011,Jan,Manager,Roy Hodgson sacekd; Kenny Dalglish appointed
2012,Feb,Trophy,League Cup
2012,Jun,Manager,Kenny Dalglish sacked; Brendan Rogers appointed
2015,Oct,Manager,Brendan Rogers sacked; Jurgen Klopp appointed
